Stellar Sequence
Central Pressure Range = 1.5 to 450 MeVfm^3
Number of Stars = 500
h = 15 meters
r0 = 5 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 7.69989980e+01   1.33100000e+01    1.73467067e+00    4.68987295e+02
 7.78977956e+01   1.32950000e+01    1.73989612e+00    4.71659330e+02
 7.87965932e+01   1.32950000e+01    1.74503619e+00    4.74322787e+02
 7.96953908e+01   1.32800000e+01    1.75008737e+00    4.76978570e+02
 8.05941884e+01   1.32800000e+01    1.75505476e+00    4.79627037e+02
 8.14929860e+01   1.32800000e+01    1.75993983e+00    4.82268414e+02
 8.32905812e+01   1.32650000e+01    1.76946377e+00    4.87543553e+02
 8.41893788e+01   1.32650000e+01    1.77410844e+00    4.90196060e+02
 8.50881764e+01   1.32500000e+01    1.77867277e+00    4.92870331e+02
 8.59869739e+01   1.32350000e+01    1.78316016e+00    4.95562463e+02
 8.68857715e+01   1.32350000e+01    1.78757130e+00    4.98263741e+02
 8.77845691e+01   1.32350000e+01    1.79191007e+00    5.00966037e+02
 8.95821643e+01   1.32200000e+01    1.80036490e+00    5.06367051e+02
 9.04809619e+01   1.32200000e+01    1.80448635e+00    5.09067131e+02
 9.13797595e+01   1.32050000e+01    1.80853689e+00    5.11766818e+02
 9.31773547e+01   1.31900000e+01    1.81643367e+00    5.17160185e+02
 9.58737475e+01   1.31750000e+01    1.82778908e+00    5.25219126e+02
 9.67725451e+01   1.31600000e+01    1.83144775e+00    5.27893820e+02
 1.00367735e+02   1.31450000e+01    1.84549450e+00    5.38530679e+02
 1.02165331e+02   1.31300000e+01    1.85217466e+00    5.43814709e+02
 1.04861723e+02   1.31150000e+01    1.86179671e+00    5.51700679e+02
 1.05760521e+02   1.31150000e+01    1.86490341e+00    5.54317468e+02
 1.07558116e+02   1.30850000e+01    1.87096336e+00    5.59532116e+02
 1.10254509e+02   1.30700000e+01    1.87970076e+00    5.67307633e+02
 1.11153307e+02   1.30700000e+01    1.88252308e+00    5.69887263e+02
 1.12950902e+02   1.30550000e+01    1.88803331e+00    5.75028392e+02
 1.13849699e+02   1.30550000e+01    1.89072636e+00    5.77590030e+02
 1.15647295e+02   1.30400000e+01    1.89598549e+00    5.82695981e+02
 1.18343687e+02   1.30100000e+01    1.90357675e+00    5.90312795e+02
 1.21040080e+02   1.29950000e+01    1.91082752e+00    5.97879753e+02
 1.23736473e+02   1.29800000e+01    1.91775621e+00    6.05396971e+02
 1.26432866e+02   1.29650000e+01    1.92438017e+00    6.12864986e+02
 1.29129259e+02   1.29350000e+01    1.93071549e+00    6.20285406e+02
 1.31825651e+02   1.29200000e+01    1.93677727e+00    6.27659600e+02
 1.34522044e+02   1.29050000e+01    1.94257950e+00    6.34988718e+02
 1.37218437e+02   1.28900000e+01    1.94813529e+00    6.42273920e+02
 1.39914830e+02   1.28750000e+01    1.95345693e+00    6.49517003e+02
 1.42611222e+02   1.28450000e+01    1.95855588e+00    6.56719432e+02
 1.45307615e+02   1.28300000e+01    1.96344305e+00    6.63881846e+02
 1.48004008e+02   1.28150000e+01    1.96812852e+00    6.71004049e+02
 1.50700401e+02   1.28000000e+01    1.97262185e+00    6.78087419e+02
 1.53396794e+02   1.27850000e+01    1.97693184e+00    6.85138422e+02
 1.56093186e+02   1.27550000e+01    1.98106656e+00    6.92165034e+02
 1.58789579e+02   1.27400000e+01    1.98503375e+00    6.99175377e+02
 1.61485972e+02   1.27250000e+01    1.98884092e+00    7.06171563e+02
 1.64182365e+02   1.27100000e+01    1.99249457e+00    7.13151427e+02
 1.69575150e+02   1.26800000e+01    1.99936528e+00    7.27037033e+02
 1.72271543e+02   1.26650000e+01    2.00259575e+00    7.33936791e+02
 1.74967936e+02   1.26500000e+01    2.00569601e+00    7.40808193e+02
 1.77664329e+02   1.26200000e+01    2.00867177e+00    7.47651041e+02
 1.81259519e+02   1.26050000e+01    2.01245579e+00    7.56730444e+02
 1.85753507e+02   1.25750000e+01    2.01690329e+00    7.68009590e+02
 1.89348697e+02   1.25600000e+01    2.02025148e+00    7.76977946e+02
 1.92045090e+02   1.25450000e+01    2.02264529e+00    7.83672803e+02
 1.94741483e+02   1.25300000e+01    2.02494288e+00    7.90341254e+02
 1.97437876e+02   1.25150000e+01    2.02714884e+00    7.96983764e+02
 2.00134269e+02   1.24850000e+01    2.02926558e+00    8.03600798e+02
 2.01033066e+02   1.24850000e+01    2.02995330e+00    8.05800894e+02
 2.03729459e+02   1.24700000e+01    2.03195784e+00    8.12384680e+02
 2.10021042e+02   1.24400000e+01    2.03632607e+00    8.27652754e+02
 2.12717435e+02   1.24250000e+01    2.03807260e+00    8.34156981e+02
 2.15413828e+02   1.24100000e+01    2.03974733e+00    8.40638305e+02
 2.19009018e+02   1.23950000e+01    2.04187510e+00    8.49245181e+02
 2.34288577e+02   1.23050000e+01    2.04968177e+00    8.85401083e+02
 2.37883768e+02   1.22900000e+01    2.05125630e+00    8.93813743e+02
 2.40580160e+02   1.22750000e+01    2.05237651e+00    9.00100714e+02
 2.43276553e+02   1.22600000e+01    2.05344720e+00    9.06368764e+02
 2.50466934e+02   1.22300000e+01    2.05607610e+00    9.22993571e+02
 2.54062124e+02   1.22150000e+01    2.05727262e+00    9.31258175e+02
 2.63948898e+02   1.21550000e+01    2.06018851e+00    9.53829967e+02
 2.67544088e+02   1.21400000e+01    2.06112199e+00    9.61983408e+02
 2.81924850e+02   1.20800000e+01    2.06425226e+00    9.94319537e+02
 2.99900802e+02   1.20050000e+01    2.06697580e+00    1.03415761e+03
 3.02597194e+02   1.18100000e+01               nan    1.04008164e+03
 3.03495992e+02   1.18100000e+01               nan    1.04205349e+03
 3.17876754e+02   1.17500000e+01               nan    1.07341278e+03
