Stellar Sequence
Central Pressure Range = 0.05 to 1000.0 MeVfm^3
Number of Stars = 1250
h = 4 meters
r0 = 2.5 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 8.05600480e+00   1.28705000e+01    5.50732297e-01    1.93800647e+02
 8.85660528e+00   1.28785000e+01    5.86175550e-01    2.00384096e+02
 1.28596077e+01   1.29985000e+01    7.41127691e-01    2.29038653e+02
 1.52614091e+01   1.30305000e+01    8.20204605e-01    2.43874148e+02
 1.60620096e+01   1.30505000e+01    8.44714789e-01    2.48526766e+02
 1.68626101e+01   1.30585000e+01    8.68393680e-01    2.53074984e+02
 1.76632106e+01   1.30825000e+01    8.91290862e-01    2.57492237e+02
 1.84638110e+01   1.30865000e+01    9.13452037e-01    2.61822905e+02
 1.92644115e+01   1.31025000e+01    9.34914991e-01    2.66047052e+02
 2.00650120e+01   1.31185000e+01    9.55720957e-01    2.70182945e+02
 2.08656125e+01   1.31265000e+01    9.75900352e-01    2.74242873e+02
 2.16662130e+01   1.31385000e+01    9.95486527e-01    2.78217539e+02
 2.24668135e+01   1.31505000e+01    1.01450788e+00    2.82125867e+02
 2.32674139e+01   1.31545000e+01    1.03299075e+00    2.85964217e+02
 2.40680144e+01   1.31625000e+01    1.05096078e+00    2.89737657e+02
 2.48686149e+01   1.31625000e+01    1.06844093e+00    2.93451772e+02
 2.56692154e+01   1.31745000e+01    1.08545292e+00    2.97109159e+02
 2.64698159e+01   1.31825000e+01    1.10201658e+00    3.00711465e+02
 2.72704163e+01   1.31905000e+01    1.11815176e+00    3.04262523e+02
 2.80710168e+01   1.31825000e+01    1.13387515e+00    3.07765780e+02
 2.88716173e+01   1.32025000e+01    1.14920416e+00    3.11222388e+02
 2.96722178e+01   1.31985000e+01    1.16415420e+00    3.14634300e+02
 3.04728183e+01   1.32145000e+01    1.17874038e+00    3.18004083e+02
 3.12734187e+01   1.32105000e+01    1.19297598e+00    3.21334447e+02
 3.20740192e+01   1.32025000e+01    1.20687407e+00    3.24626715e+02
 3.28746197e+01   1.32225000e+01    1.22044854e+00    3.27880667e+02
 3.36752202e+01   1.32145000e+01    1.23370965e+00    3.31098980e+02
 3.44758207e+01   1.32225000e+01    1.24666932e+00    3.34285709e+02
 3.52764211e+01   1.32145000e+01    1.25933739e+00    3.37440187e+02
 3.60770216e+01   1.32225000e+01    1.27172481e+00    3.40560610e+02
 3.68776221e+01   1.32385000e+01    1.28384092e+00    3.43650460e+02
 3.76782226e+01   1.32185000e+01    1.29569444e+00    3.46714085e+02
 3.84788231e+01   1.32305000e+01    1.30729444e+00    3.49750595e+02
 3.92794235e+01   1.32065000e+01    1.31864825e+00    3.52757894e+02
 4.00800240e+01   1.32145000e+01    1.32976521e+00    3.55737844e+02
 4.08806245e+01   1.32265000e+01    1.34065237e+00    3.58693781e+02
 4.16812250e+01   1.32105000e+01    1.35131601e+00    3.61626723e+02
 4.24818255e+01   1.32065000e+01    1.36176368e+00    3.64536189e+02
 4.32824259e+01   1.32025000e+01    1.37200218e+00    3.67422313e+02
 4.40830264e+01   1.32065000e+01    1.38203724e+00    3.70286021e+02
 4.48836269e+01   1.32025000e+01    1.39187540e+00    3.73128288e+02
 4.56842274e+01   1.32065000e+01    1.40152215e+00    3.75950077e+02
 4.64848279e+01   1.32065000e+01    1.41098288e+00    3.78752306e+02
 4.72854283e+01   1.32025000e+01    1.42026286e+00    3.81535332e+02
 4.80860288e+01   1.31945000e+01    1.42936731e+00    3.84299141e+02
 4.88866293e+01   1.31905000e+01    1.43830126e+00    3.87043951e+02
 4.96872298e+01   1.31905000e+01    1.44706960e+00    3.89770625e+02
 5.04878303e+01   1.31865000e+01    1.45567628e+00    3.92480117e+02
 5.12884307e+01   1.31825000e+01    1.46412607e+00    3.95173023e+02
 5.20890312e+01   1.31945000e+01    1.47242294e+00    3.97849595e+02
 5.28896317e+01   1.31825000e+01    1.48057098e+00    4.00510080e+02
 5.36902322e+01   1.31785000e+01    1.48857408e+00    4.03154835e+02
 5.44908327e+01   1.31705000e+01    1.49643591e+00    4.05784262e+02
 5.52914331e+01   1.31705000e+01    1.50416020e+00    4.08398768e+02
 5.60920336e+01   1.31625000e+01    1.51175032e+00    4.10998760e+02
 5.68926341e+01   1.31585000e+01    1.51920973e+00    4.13584643e+02
 5.76932346e+01   1.31545000e+01    1.52654174e+00    4.16156793e+02
