Stellar Sequence
Central Pressure Range = 4.0 to 1500.0 MeVfm^3
Number of Stars = 1250
h = 5 meters
r0 = 10.0 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 1.03413931e+02   1.13350000e+01    1.45777673e+00    5.86428057e+02
 1.04611689e+02   1.13300000e+01    1.46426968e+00    5.88755553e+02
 1.05809448e+02   1.13300000e+01    1.47067936e+00    5.91078539e+02
 1.07007206e+02   1.13250000e+01    1.47700710e+00    5.93389540e+02
 1.08204964e+02   1.13250000e+01    1.48325455e+00    5.95681013e+02
 1.09402722e+02   1.13250000e+01    1.48942344e+00    5.97945648e+02
 1.10600480e+02   1.13200000e+01    1.49551560e+00    6.00182485e+02
 1.11798239e+02   1.13200000e+01    1.50153285e+00    6.02397505e+02
 1.12995997e+02   1.13150000e+01    1.50747687e+00    6.04597040e+02
 1.14193755e+02   1.13150000e+01    1.51334875e+00    6.06787424e+02
 1.15391513e+02   1.13100000e+01    1.51914970e+00    6.08973755e+02
 1.16589271e+02   1.13100000e+01    1.52488087e+00    6.11155434e+02
 1.17787030e+02   1.13100000e+01    1.53054306e+00    6.13330225e+02
 1.18984788e+02   1.13050000e+01    1.53613761e+00    6.15495890e+02
 1.20182546e+02   1.13050000e+01    1.54166542e+00    6.17650198e+02
 1.21380304e+02   1.13000000e+01    1.54712784e+00    6.19791647e+02
 1.22578062e+02   1.13000000e+01    1.55252592e+00    6.21920102e+02
 1.23775821e+02   1.12950000e+01    1.55786089e+00    6.24035578e+02
 1.24973579e+02   1.12950000e+01    1.56313379e+00    6.26138089e+02
 1.26171337e+02   1.12900000e+01    1.56834583e+00    6.28227665e+02
 1.27369095e+02   1.12900000e+01    1.57349791e+00    6.30305121e+02
 1.28566853e+02   1.12900000e+01    1.57859128e+00    6.32372445e+02
 1.29764612e+02   1.12850000e+01    1.58362663e+00    6.34431720e+02
 1.30962370e+02   1.12850000e+01    1.58860509e+00    6.36485029e+02
 1.32160128e+02   1.12800000e+01    1.59352735e+00    6.38534450e+02
 1.33357886e+02   1.12800000e+01    1.59839408e+00    6.40580606e+02
 1.34555645e+02   1.12750000e+01    1.60320629e+00    6.42620728e+02
 1.35753403e+02   1.12750000e+01    1.60796464e+00    6.44651566e+02
 1.36951161e+02   1.12700000e+01    1.61266999e+00    6.46669868e+02
 1.38148919e+02   1.12700000e+01    1.61732346e+00    6.48672385e+02
 1.39346677e+02   1.12650000e+01    1.62192593e+00    6.50656503e+02
 1.40544436e+02   1.12650000e+01    1.62647827e+00    6.52624006e+02
 1.41742194e+02   1.12600000e+01    1.63098163e+00    6.54578520e+02
 1.42939952e+02   1.12600000e+01    1.63543674e+00    6.56523678e+02
 1.44137710e+02   1.12550000e+01    1.63984429e+00    6.58463113e+02
 1.45335468e+02   1.12550000e+01    1.64420485e+00    6.60400456e+02
 1.46533227e+02   1.12500000e+01    1.64851917e+00    6.62337910e+02
 1.47730985e+02   1.12500000e+01    1.65278776e+00    6.64273548e+02
 1.48928743e+02   1.12450000e+01    1.65701119e+00    6.66204710e+02
 1.50126501e+02   1.12450000e+01    1.66119002e+00    6.68128733e+02
 1.51324259e+02   1.12400000e+01    1.66532492e+00    6.70042953e+02
 1.52522018e+02   1.12400000e+01    1.66941672e+00    6.71944716e+02
 1.53719776e+02   1.12350000e+01    1.67346612e+00    6.73832693e+02
 1.54917534e+02   1.12350000e+01    1.67747382e+00    6.75708512e+02
 1.56115292e+02   1.12300000e+01    1.68144050e+00    6.77574196e+02
 1.57313050e+02   1.12300000e+01    1.68536676e+00    6.79431772e+02
 1.58510809e+02   1.12250000e+01    1.68925318e+00    6.81283264e+02
 1.59708567e+02   1.12250000e+01    1.69310030e+00    6.83130696e+02
 1.60906325e+02   1.12200000e+01    1.69690867e+00    6.84975665e+02
 1.62104083e+02   1.12200000e+01    1.70067878e+00    6.86817748e+02
 1.63301841e+02   1.12150000e+01    1.70441109e+00    6.88655925e+02
 1.64499600e+02   1.12150000e+01    1.70810610e+00    6.90489178e+02
 1.65697358e+02   1.12100000e+01    1.71176430e+00    6.92316486e+02
 1.66895116e+02   1.12100000e+01    1.71538619e+00    6.94136831e+02
 1.68092874e+02   1.12050000e+01    1.71897229e+00    6.95949218e+02
 1.69290633e+02   1.12050000e+01    1.72252313e+00    6.97753427e+02
 1.70488391e+02   1.12000000e+01    1.72603921e+00    6.99550131e+02
 1.71686149e+02   1.12000000e+01    1.72952100e+00    7.01340051e+02
 1.72883907e+02   1.11950000e+01    1.73296900e+00    7.03123910e+02
 1.74081665e+02   1.11950000e+01    1.73638364e+00    7.04902428e+02
 1.75279424e+02   1.11900000e+01    1.73976537e+00    7.06676328e+02
 1.76477182e+02   1.11900000e+01    1.74311460e+00    7.08446286e+02
 1.77674940e+02   1.11850000e+01    1.74643174e+00    7.10212323e+02
 1.78872698e+02   1.11850000e+01    1.74971720e+00    7.11973978e+02
 1.80070456e+02   1.11800000e+01    1.75297137e+00    7.13730777e+02
 1.81268215e+02   1.11800000e+01    1.75619466e+00    7.15482247e+02
 1.82465973e+02   1.11750000e+01    1.75938747e+00    7.17227914e+02
 1.83663731e+02   1.11750000e+01    1.76255020e+00    7.18967304e+02
 1.84861489e+02   1.11700000e+01    1.76568327e+00    7.20699958e+02
 1.86059247e+02   1.11700000e+01    1.76878706e+00    7.22425708e+02
 1.87257006e+02   1.11650000e+01    1.77186198e+00    7.24144695e+02
 1.88454764e+02   1.11650000e+01    1.77490842e+00    7.25857073e+02
 1.89652522e+02   1.11600000e+01    1.77792675e+00    7.27562997e+02
 1.90850280e+02   1.11600000e+01    1.78091735e+00    7.29262621e+02
 1.92048038e+02   1.11550000e+01    1.78388059e+00    7.30956100e+02
 1.93245797e+02   1.11550000e+01    1.78681682e+00    7.32643586e+02
 1.94443555e+02   1.11500000e+01    1.78972640e+00    7.34325259e+02
 1.95641313e+02   1.11500000e+01    1.79260969e+00    7.36001385e+02
 1.96839071e+02   1.11450000e+01    1.79546700e+00    7.37672258e+02
 1.98036829e+02   1.11450000e+01    1.79829864e+00    7.39338169e+02
 1.99234588e+02   1.11400000e+01    1.80110491e+00    7.40999411e+02
 2.00432346e+02   1.11400000e+01    1.80388611e+00    7.42656276e+02
 2.01630104e+02   1.11350000e+01    1.80664259e+00    7.44309055e+02
 2.02827862e+02   1.11350000e+01    1.80937464e+00    7.45958041e+02
