Stellar Sequence
Central Pressure Range = 1.5 to 450.0 MeVfm^3
Number of Stars = 1250
h = 5 meters
r0 = 10.0 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 3.13042434e+01   1.32600000e+01    1.20414474e+00    3.20517970e+02
 3.16633307e+01   1.32600000e+01    1.21038388e+00    3.22024565e+02
 3.20224179e+01   1.32600000e+01    1.21655478e+00    3.23524184e+02
 3.23815052e+01   1.32600000e+01    1.22265868e+00    3.25017355e+02
 3.27405925e+01   1.32600000e+01    1.22869655e+00    3.26503941e+02
 3.30996797e+01   1.32650000e+01    1.23466972e+00    3.27983642e+02
 3.34587670e+01   1.32650000e+01    1.24057907e+00    3.29456159e+02
 3.38178543e+01   1.32650000e+01    1.24642571e+00    3.30921457e+02
 3.41769416e+01   1.32650000e+01    1.25221070e+00    3.32379933e+02
 3.45360288e+01   1.32650000e+01    1.25793508e+00    3.33832023e+02
 3.48951161e+01   1.32650000e+01    1.26359979e+00    3.35278155e+02
 3.52542034e+01   1.32650000e+01    1.26920576e+00    3.36718498e+02
 3.56132906e+01   1.32650000e+01    1.27475391e+00    3.38152950e+02
 3.59723779e+01   1.32650000e+01    1.28024516e+00    3.39581395e+02
 3.63314652e+01   1.32650000e+01    1.28568037e+00    3.41003724e+02
 3.66905524e+01   1.32650000e+01    1.29106043e+00    3.42420002e+02
 3.70496397e+01   1.32650000e+01    1.29638616e+00    3.43830457e+02
 3.74087270e+01   1.32650000e+01    1.30165857e+00    3.45235326e+02
 3.77678143e+01   1.32650000e+01    1.30687830e+00    3.46634844e+02
 3.81269015e+01   1.32650000e+01    1.31204615e+00    3.48029147e+02
 3.84859888e+01   1.32650000e+01    1.31716296e+00    3.49418243e+02
 3.88450761e+01   1.32650000e+01    1.32222938e+00    3.50802131e+02
 3.92041633e+01   1.32650000e+01    1.32724636e+00    3.52180810e+02
 3.95632506e+01   1.32650000e+01    1.33221442e+00    3.53554308e+02
 3.99223379e+01   1.32650000e+01    1.33713430e+00    3.54922740e+02
 4.02814251e+01   1.32650000e+01    1.34200692e+00    3.56286231e+02
 4.06405124e+01   1.32650000e+01    1.34683272e+00    3.57644908e+02
 4.09995997e+01   1.32650000e+01    1.35161240e+00    3.58998892e+02
 4.13586869e+01   1.32650000e+01    1.35634678e+00    3.60348247e+02
 4.17177742e+01   1.32600000e+01    1.36103634e+00    3.61693006e+02
 4.20768615e+01   1.32600000e+01    1.36568182e+00    3.63033201e+02
 4.24359488e+01   1.32600000e+01    1.37028374e+00    3.64368863e+02
 4.27950360e+01   1.32600000e+01    1.37484277e+00    3.65700041e+02
 4.31541233e+01   1.32600000e+01    1.37935947e+00    3.67026828e+02
 4.35132106e+01   1.32600000e+01    1.38383447e+00    3.68349324e+02
 4.38722978e+01   1.32600000e+01    1.38826829e+00    3.69667629e+02
 4.42313851e+01   1.32550000e+01    1.39266154e+00    3.70981840e+02
 4.45904724e+01   1.32550000e+01    1.39701469e+00    3.72292016e+02
 4.49495596e+01   1.32550000e+01    1.40132837e+00    3.73598158e+02
 4.53086469e+01   1.32550000e+01    1.40560298e+00    3.74900268e+02
 4.56677342e+01   1.32550000e+01    1.40983929e+00    3.76198342e+02
 4.60268215e+01   1.32500000e+01    1.41403757e+00    3.77492385e+02
 4.63859087e+01   1.32500000e+01    1.41819838e+00    3.78782457e+02
 4.67449960e+01   1.32500000e+01    1.42232225e+00    3.80068682e+02
 4.71040833e+01   1.32500000e+01    1.42640967e+00    3.81351185e+02
 4.74631705e+01   1.32500000e+01    1.43046110e+00    3.82630089e+02
 4.78222578e+01   1.32450000e+01    1.43447695e+00    3.83905520e+02
 4.81813451e+01   1.32450000e+01    1.43845776e+00    3.85177531e+02
 4.85404323e+01   1.32450000e+01    1.44240388e+00    3.86446097e+02
 4.88995196e+01   1.32450000e+01    1.44631583e+00    3.87711186e+02
 4.92586069e+01   1.32400000e+01    1.45019401e+00    3.88972768e+02
 4.96176942e+01   1.32400000e+01    1.45403873e+00    3.90230812e+02
 4.99767814e+01   1.32400000e+01    1.45785068e+00    3.91485319e+02
 5.03358687e+01   1.32400000e+01    1.46163003e+00    3.92736368e+02
 5.06949560e+01   1.32350000e+01    1.46537731e+00    3.93984051e+02
 5.10540432e+01   1.32350000e+01    1.46909281e+00    3.95228459e+02
 5.14131305e+01   1.32350000e+01    1.47277703e+00    3.96469683e+02
 5.17722178e+01   1.32300000e+01    1.47643036e+00    3.97707809e+02
 5.21313050e+01   1.32300000e+01    1.48005304e+00    3.98942885e+02
 5.24903923e+01   1.32300000e+01    1.48364559e+00    4.00174935e+02
 5.28494796e+01   1.32250000e+01    1.48720824e+00    4.01403985e+02
 5.32085669e+01   1.32250000e+01    1.49074134e+00    4.02630061e+02
 5.35676541e+01   1.32250000e+01    1.49424547e+00    4.03853187e+02
 5.39267414e+01   1.32250000e+01    1.49772075e+00    4.05073381e+02
 5.42858287e+01   1.32200000e+01    1.50116754e+00    4.06290638e+02
 5.46449159e+01   1.32200000e+01    1.50458621e+00    4.07504950e+02
 5.50040032e+01   1.32200000e+01    1.50797715e+00    4.08716308e+02
 5.53630905e+01   1.32150000e+01    1.51134058e+00    4.09924703e+02
 5.57221777e+01   1.32150000e+01    1.51467686e+00    4.11130128e+02
 5.60812650e+01   1.32150000e+01    1.51798629e+00    4.12332617e+02
 5.64403523e+01   1.32100000e+01    1.52126926e+00    4.13532274e+02
 5.67994396e+01   1.32100000e+01    1.52452608e+00    4.14729213e+02
 5.71585268e+01   1.32100000e+01    1.52775698e+00    4.15923545e+02
 5.75176141e+01   1.32050000e+01    1.53096224e+00    4.17115381e+02
 5.78767014e+01   1.32050000e+01    1.53414216e+00    4.18304833e+02
 5.82357886e+01   1.32050000e+01    1.53729703e+00    4.19491955e+02
 5.85948759e+01   1.32000000e+01    1.54042711e+00    4.20676709e+02
 5.89539632e+01   1.32000000e+01    1.54353269e+00    4.21859044e+02
 5.93130504e+01   1.31950000e+01    1.54661403e+00    4.23038912e+02
 5.96721377e+01   1.31950000e+01    1.54967141e+00    4.24216264e+02
 6.00312250e+01   1.31950000e+01    1.55270508e+00    4.25391050e+02
 6.03903122e+01   1.31900000e+01    1.55571531e+00    4.26563242e+02
 6.07493995e+01   1.31900000e+01    1.55870236e+00    4.27732874e+02
 6.11084868e+01   1.31900000e+01    1.56166649e+00    4.28899994e+02
 6.14675741e+01   1.31850000e+01    1.56460794e+00    4.30064647e+02
 6.18266613e+01   1.31850000e+01    1.56752697e+00    4.31226882e+02
 6.21857486e+01   1.31800000e+01    1.57042381e+00    4.32386743e+02
 6.25448359e+01   1.31800000e+01    1.57329870e+00    4.33544280e+02
 6.29039231e+01   1.31800000e+01    1.57615187e+00    4.34699540e+02
 6.32630104e+01   1.31750000e+01    1.57898356e+00    4.35852576e+02
 6.36220977e+01   1.31750000e+01    1.58179399e+00    4.37003438e+02
 6.39811849e+01   1.31700000e+01    1.58458337e+00    4.38152179e+02
 6.43402722e+01   1.31700000e+01    1.58735192e+00    4.39298849e+02
 6.46993595e+01   1.31700000e+01    1.59009986e+00    4.40443500e+02
 6.50584468e+01   1.31650000e+01    1.59282739e+00    4.41586170e+02
 6.54175340e+01   1.31650000e+01    1.59553482e+00    4.42726845e+02
 6.57766213e+01   1.31600000e+01    1.59822228e+00    4.43865500e+02
 6.61357086e+01   1.31600000e+01    1.60088995e+00    4.45002111e+02
 6.64947958e+01   1.31600000e+01    1.60353803e+00    4.46136653e+02
 6.68538831e+01   1.31550000e+01    1.60616672e+00    4.47269101e+02
 6.72129704e+01   1.31550000e+01    1.60877622e+00    4.48399430e+02
 6.75720576e+01   1.31500000e+01    1.61136680e+00    4.49527631e+02
 6.79311449e+01   1.31500000e+01    1.61393858e+00    4.50653731e+02
 6.82902322e+01   1.31450000e+01    1.61649174e+00    4.51777765e+02
 6.86493195e+01   1.31450000e+01    1.61902645e+00    4.52899765e+02
 6.90084067e+01   1.31450000e+01    1.62154300e+00    4.54019766e+02
 6.93674940e+01   1.31400000e+01    1.62404158e+00    4.55137800e+02
 6.97265813e+01   1.31400000e+01    1.62652225e+00    4.56253901e+02
 7.00856685e+01   1.31350000e+01    1.62898521e+00    4.57368103e+02
 7.04447558e+01   1.31350000e+01    1.63143069e+00    4.58480446e+02
 7.08038431e+01   1.31350000e+01    1.63385884e+00    4.59590968e+02
 7.11629303e+01   1.31300000e+01    1.63626977e+00    4.60699709e+02
 7.15220176e+01   1.31300000e+01    1.63866366e+00    4.61806708e+02
 7.18811049e+01   1.31250000e+01    1.64104087e+00    4.62912005e+02
 7.22401922e+01   1.31250000e+01    1.64340135e+00    4.64015639e+02
 7.25992794e+01   1.31200000e+01    1.64574526e+00    4.65117645e+02
 7.29583667e+01   1.31200000e+01    1.64807286e+00    4.66218023e+02
 7.33174540e+01   1.31150000e+01    1.65038421e+00    4.67316757e+02
 7.36765412e+01   1.31150000e+01    1.65267944e+00    4.68413827e+02
 7.40356285e+01   1.31150000e+01    1.65495891e+00    4.69509219e+02
 7.43947158e+01   1.31100000e+01    1.65722259e+00    4.70602914e+02
 7.47538030e+01   1.31100000e+01    1.65947061e+00    4.71694895e+02
 7.51128903e+01   1.31050000e+01    1.66170324e+00    4.72785146e+02
 7.54719776e+01   1.31050000e+01    1.66392048e+00    4.73873658e+02
 7.58310649e+01   1.31000000e+01    1.66612254e+00    4.74960439e+02
 7.61901521e+01   1.31000000e+01    1.66830972e+00    4.76045501e+02
 7.65492394e+01   1.30950000e+01    1.67048191e+00    4.77128856e+02
