Stellar Sequence
Central Pressure Range = 4.0 to 1500.0 MeVfm^3
Number of Stars = 1250
h = 5 meters
r0 = 10.0 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 1.03413931e+02   1.21150000e+01    1.57486019e+00    5.84546455e+02
 1.04611689e+02   1.21100000e+01    1.58022111e+00    5.87351806e+02
 1.05809448e+02   1.21050000e+01    1.58550383e+00    5.90141454e+02
 1.07007206e+02   1.21000000e+01    1.59071002e+00    5.92915774e+02
 1.08204964e+02   1.20900000e+01    1.59584130e+00    5.95675143e+02
 1.09402722e+02   1.20850000e+01    1.60089928e+00    5.98419936e+02
 1.10600480e+02   1.20800000e+01    1.60588543e+00    6.01150531e+02
 1.11798239e+02   1.20700000e+01    1.61080120e+00    6.03867289e+02
 1.12995997e+02   1.20650000e+01    1.61564806e+00    6.06570447e+02
 1.14193755e+02   1.20600000e+01    1.62042738e+00    6.09260163e+02
 1.15391513e+02   1.20550000e+01    1.62514052e+00    6.11936596e+02
 1.16589271e+02   1.20450000e+01    1.62978877e+00    6.14599904e+02
 1.17787030e+02   1.20400000e+01    1.63437344e+00    6.17250247e+02
 1.18984788e+02   1.20350000e+01    1.63889573e+00    6.19887783e+02
 1.20182546e+02   1.20300000e+01    1.64335694e+00    6.22512670e+02
 1.21380304e+02   1.20200000e+01    1.64775818e+00    6.25125067e+02
 1.22578062e+02   1.20150000e+01    1.65210062e+00    6.27725134e+02
 1.23775821e+02   1.20100000e+01    1.65638541e+00    6.30313027e+02
 1.24973579e+02   1.20050000e+01    1.66061360e+00    6.32888906e+02
 1.26171337e+02   1.20000000e+01    1.66478633e+00    6.35452930e+02
 1.27369095e+02   1.19900000e+01    1.66890457e+00    6.38005257e+02
 1.28566853e+02   1.19850000e+01    1.67296936e+00    6.40546046e+02
 1.29764612e+02   1.19800000e+01    1.67698171e+00    6.43075456e+02
 1.30962370e+02   1.19750000e+01    1.68094253e+00    6.45593644e+02
 1.32160128e+02   1.19650000e+01    1.68485283e+00    6.48100770e+02
 1.33357886e+02   1.19600000e+01    1.68871350e+00    6.50596992e+02
 1.34555645e+02   1.19550000e+01    1.69252542e+00    6.53082469e+02
 1.35753403e+02   1.19500000e+01    1.69628946e+00    6.55557359e+02
 1.36951161e+02   1.19450000e+01    1.70000650e+00    6.58021822e+02
 1.38148919e+02   1.19350000e+01    1.70367733e+00    6.60476015e+02
 1.39346677e+02   1.19300000e+01    1.70730284e+00    6.62920097e+02
 1.40544436e+02   1.19250000e+01    1.71088373e+00    6.65354228e+02
 1.41742194e+02   1.19200000e+01    1.71442081e+00    6.67778564e+02
 1.42939952e+02   1.19150000e+01    1.71791486e+00    6.70193266e+02
 1.44137710e+02   1.19100000e+01    1.72136655e+00    6.72598492e+02
 1.45335468e+02   1.19000000e+01    1.72477664e+00    6.74994400e+02
 1.46533227e+02   1.19000000e+01    1.72814586e+00    6.77381149e+02
 1.47730985e+02   1.18900000e+01    1.73147484e+00    6.79758898e+02
 1.48928743e+02   1.18850000e+01    1.73476426e+00    6.82127804e+02
 1.50126501e+02   1.18800000e+01    1.73801479e+00    6.84488028e+02
 1.51324259e+02   1.18750000e+01    1.74122704e+00    6.86839727e+02
 1.52522018e+02   1.18700000e+01    1.74440169e+00    6.89183060e+02
 1.53719776e+02   1.18650000e+01    1.74753928e+00    6.91518185e+02
 1.54917534e+02   1.18600000e+01    1.75064045e+00    6.93845256e+02
 1.56115292e+02   1.18500000e+01    1.75370574e+00    6.96164368e+02
 1.57313050e+02   1.18450000e+01    1.75673575e+00    6.98475588e+02
 1.58510809e+02   1.18400000e+01    1.75973101e+00    7.00778984e+02
 1.59708567e+02   1.18350000e+01    1.76269212e+00    7.03074622e+02
 1.60906325e+02   1.18300000e+01    1.76561954e+00    7.05362568e+02
 1.62104083e+02   1.18250000e+01    1.76851385e+00    7.07642890e+02
 1.63301841e+02   1.18200000e+01    1.77137554e+00    7.09915654e+02
 1.64499600e+02   1.18150000e+01    1.77420509e+00    7.12180926e+02
 1.65697358e+02   1.18100000e+01    1.77700301e+00    7.14438775e+02
 1.66895116e+02   1.18050000e+01    1.77976982e+00    7.16689265e+02
 1.68092874e+02   1.18000000e+01    1.78250594e+00    7.18932465e+02
 1.69290633e+02   1.17900000e+01    1.78521184e+00    7.21168440e+02
 1.70488391e+02   1.17850000e+01    1.78788800e+00    7.23397259e+02
 1.71686149e+02   1.17800000e+01    1.79053482e+00    7.25618986e+02
 1.72883907e+02   1.17750000e+01    1.79315282e+00    7.27833689e+02
 1.74081665e+02   1.17700000e+01    1.79574234e+00    7.30041435e+02
 1.75279424e+02   1.17650000e+01    1.79830384e+00    7.32242291e+02
 1.76477182e+02   1.17600000e+01    1.80083773e+00    7.34436322e+02
 1.77674940e+02   1.17550000e+01    1.80334439e+00    7.36623597e+02
 1.78872698e+02   1.17500000e+01    1.80582424e+00    7.38804181e+02
 1.80070456e+02   1.17450000e+01    1.80827767e+00    7.40978141e+02
 1.81268215e+02   1.17400000e+01    1.81070505e+00    7.43145545e+02
 1.82465973e+02   1.17350000e+01    1.81310676e+00    7.45306458e+02
 1.83663731e+02   1.17300000e+01    1.81548313e+00    7.47460948e+02
 1.84861489e+02   1.17250000e+01    1.81783456e+00    7.49609082e+02
 1.86059247e+02   1.17200000e+01    1.82016142e+00    7.51750925e+02
 1.87257006e+02   1.17150000e+01    1.82246402e+00    7.53886545e+02
 1.88454764e+02   1.17100000e+01    1.82474269e+00    7.56016009e+02
 1.89652522e+02   1.17050000e+01    1.82699778e+00    7.58139382e+02
 1.90850280e+02   1.17000000e+01    1.82922961e+00    7.60256733e+02
 1.92048038e+02   1.16950000e+01    1.83143853e+00    7.62368128e+02
 1.93245797e+02   1.16900000e+01    1.83362483e+00    7.64473632e+02
 1.94443555e+02   1.16850000e+01    1.83578881e+00    7.66573314e+02
 1.95641313e+02   1.16800000e+01    1.83793077e+00    7.68667240e+02
 1.96839071e+02   1.16750000e+01    1.84005102e+00    7.70755477e+02
 1.98036829e+02   1.16700000e+01    1.84214988e+00    7.72838090e+02
 1.99234588e+02   1.16650000e+01    1.84422760e+00    7.74915148e+02
 2.00432346e+02   1.16600000e+01    1.84628447e+00    7.76986717e+02
 2.01630104e+02   1.16550000e+01    1.84832075e+00    7.79052863e+02
 2.02827862e+02   1.16500000e+01    1.85033675e+00    7.81113653e+02
 2.04025620e+02   1.16450000e+01    1.85233270e+00    7.83169155e+02
 2.05223379e+02   1.16400000e+01    1.85430888e+00    7.85219434e+02
 2.06421137e+02   1.16350000e+01    1.85626554e+00    7.87264557e+02
 2.07618895e+02   1.16300000e+01    1.85820293e+00    7.89304592e+02
 2.08816653e+02   1.16250000e+01    1.86012134e+00    7.91339605e+02
 2.10014412e+02   1.16200000e+01    1.86202096e+00    7.93369662e+02
 2.11212170e+02   1.16150000e+01    1.86390204e+00    7.95394831e+02
 2.12409928e+02   1.16100000e+01    1.86576481e+00    7.97415178e+02
 2.13607686e+02   1.16050000e+01    1.86760953e+00    7.99430769e+02
 2.14805444e+02   1.16000000e+01    1.86943641e+00    8.01441668e+02
 2.16003203e+02   1.15950000e+01    1.87124566e+00    8.03447909e+02
 2.17200961e+02   1.15900000e+01    1.87303752e+00    8.05449522e+02
 2.18398719e+02   1.15850000e+01    1.87481218e+00    8.07446534e+02
 2.19596477e+02   1.15850000e+01    1.87656991e+00    8.09438974e+02
 2.20794235e+02   1.15800000e+01    1.87831086e+00    8.11426868e+02
 2.21991994e+02   1.15750000e+01    1.88003524e+00    8.13410246e+02
 2.23189752e+02   1.15700000e+01    1.88174327e+00    8.15389134e+02
 2.24387510e+02   1.15650000e+01    1.88343518e+00    8.17363561e+02
 2.25585268e+02   1.15600000e+01    1.88511111e+00    8.19333555e+02
 2.26783026e+02   1.15550000e+01    1.88677127e+00    8.21299144e+02
