           R_km         P_MeV/fm3         M_M_solar   Energy Density (ε)
 1.50000000e-02    1.49999794e+02    6.14132253e-09    8.63810868e+17
 2.00000000e-02    1.49999507e+02    1.45572020e-08    8.63809597e+17
 2.50000000e-02    1.49999137e+02    2.84320166e-08    8.63808643e+17
 3.00000000e-02    1.49998684e+02    4.91304852e-08    8.63807478e+17
 3.50000000e-02    1.49998150e+02    7.80173164e-08    8.63806101e+17
 4.00000000e-02    1.49997533e+02    1.16457207e-07    8.63804512e+17
 4.50000000e-02    1.49996835e+02    1.65814839e-07    8.63802711e+17
 5.00000000e-02    1.49996054e+02    2.27454880e-07    8.63800698e+17
 5.50000000e-02    1.49995190e+02    3.02741978e-07    8.63798474e+17
 6.00000000e-02    1.49994245e+02    3.93040761e-07    8.63796037e+17
 6.50000000e-02    1.49993217e+02    4.99715835e-07    8.63793389e+17
 7.00000000e-02    1.49992107e+02    6.24131783e-07    8.63790529e+17
 7.50000000e-02    1.49990915e+02    7.67653161e-07    8.63787457e+17
 8.00000000e-02    1.49989641e+02    9.31644497e-07    8.63784173e+17
 8.50000000e-02    1.49988285e+02    1.11747029e-06    8.63780677e+17
 9.00000000e-02    1.49986846e+02    1.32649500e-06    8.63776970e+17
 9.50000000e-02    1.49985325e+02    1.56008306e-06    8.63773050e+17
 1.00000000e-01    1.49983722e+02    1.81959888e-06    8.63768919e+17
 1.05000000e-01    1.49982037e+02    2.10640680e-06    8.63764576e+17
 1.10000000e-01    1.49980269e+02    2.42187114e-06    8.63760021e+17
 1.15000000e-01    1.49978420e+02    2.76735618e-06    8.63755254e+17
 1.20000000e-01    1.49976488e+02    3.14422614e-06    8.63750276e+17
 1.25000000e-01    1.49974474e+02    3.55384522e-06    8.63745085e+17
 1.30000000e-01    1.49972378e+02    3.99757755e-06    8.63739683e+17
 1.35000000e-01    1.49970199e+02    4.47678721e-06    8.63734069e+17
 1.40000000e-01    1.49967939e+02    4.99283825e-06    8.63728244e+17
 1.45000000e-01    1.49965596e+02    5.54709463e-06    8.63722206e+17
 1.50000000e-01    1.49963171e+02    6.14092028e-06    8.63715957e+17
 1.55000000e-01    1.49960664e+02    6.77567908e-06    8.63709496e+17
 1.60000000e-01    1.49958075e+02    7.45273481e-06    8.63702823e+17
 1.65000000e-01    1.49955404e+02    8.17345123e-06    8.63695938e+17
 1.70000000e-01    1.49952650e+02    8.93919202e-06    8.63688841e+17
 1.75000000e-01    1.49949814e+02    9.75132078e-06    8.63681533e+17
 1.80000000e-01    1.49946896e+02    1.06112011e-05    8.63674013e+17
 1.85000000e-01    1.49943896e+02    1.15201963e-05    8.63666281e+17
 1.90000000e-01    1.49940814e+02    1.24796700e-05    8.63658338e+17
 1.95000000e-01    1.49937650e+02    1.34909854e-05    8.63650183e+17
 2.00000000e-01    1.49934403e+02    1.45555058e-05    8.63641816e+17
 2.05000000e-01    1.49931075e+02    1.56745943e-05    8.63633237e+17
