           R_km         P_MeV/fm3         M_M_solar   Energy Density (ε)
 2.10000000e-01    1.49927664e+02    1.68496141e-05    8.63624447e+17
 2.15000000e-01    1.49924171e+02    1.80819281e-05    8.63615445e+17
 2.20000000e-01    1.49920596e+02    1.93728993e-05    8.63606231e+17
 2.25000000e-01    1.49916939e+02    2.07238905e-05    8.63596805e+17
 2.30000000e-01    1.49913200e+02    2.21362644e-05    8.63587168e+17
 2.35000000e-01    1.49909379e+02    2.36113838e-05    8.63577319e+17
 2.40000000e-01    1.49905475e+02    2.51506112e-05    8.63567259e+17
 2.45000000e-01    1.49901490e+02    2.67553091e-05    8.63556986e+17
 2.50000000e-01    1.49897422e+02    2.84268398e-05    8.63546503e+17
 2.55000000e-01    1.49893272e+02    3.01665656e-05    8.63535807e+17
 2.60000000e-01    1.49889040e+02    3.19758487e-05    8.63524900e+17
 2.65000000e-01    1.49884726e+02    3.38560513e-05    8.63513781e+17
 2.70000000e-01    1.49880330e+02    3.58085351e-05    8.63502451e+17
 2.75000000e-01    1.49875852e+02    3.78346622e-05    8.63490909e+17
 2.80000000e-01    1.49871292e+02    3.99357943e-05    8.63479155e+17
 2.85000000e-01    1.49866650e+02    4.21132930e-05    8.63467190e+17
 2.90000000e-01    1.49861926e+02    4.43685199e-05    8.63455014e+17
 2.95000000e-01    1.49857119e+02    4.67028364e-05    8.63442625e+17
 3.00000000e-01    1.49852231e+02    4.91176037e-05    8.63430025e+17
 3.05000000e-01    1.49847261e+02    5.16141831e-05    8.63417214e+17
 3.10000000e-01    1.49842208e+02    5.41939357e-05    8.63404191e+17
 3.15000000e-01    1.49837074e+02    5.68582224e-05    8.63390957e+17
 3.20000000e-01    1.49831857e+02    5.96084039e-05    8.63377511e+17
 3.25000000e-01    1.49826559e+02    6.24458411e-05    8.63363853e+17
 3.30000000e-01    1.49821178e+02    6.53718944e-05    8.63349984e+17
 3.35000000e-01    1.49815716e+02    6.83879243e-05    8.63335904e+17
 3.40000000e-01    1.49810171e+02    7.14952911e-05    8.63321612e+17
 3.45000000e-01    1.49804545e+02    7.46953549e-05    8.63307109e+17
 3.50000000e-01    1.49798836e+02    7.79894759e-05    8.63292394e+17
 3.55000000e-01    1.49793046e+02    8.13790138e-05    8.63277468e+17
 3.60000000e-01    1.49787173e+02    8.48653285e-05    8.63262330e+17
 3.65000000e-01    1.49781219e+02    8.84497796e-05    8.63246981e+17
 3.70000000e-01    1.49775182e+02    9.21337264e-05    8.63231421e+17
 3.75000000e-01    1.49769064e+02    9.59185284e-05    8.63215649e+17
 3.80000000e-01    1.49762864e+02    9.98055447e-05    8.63199666e+17
 3.85000000e-01    1.49756581e+02    1.03796134e-04    8.63183471e+17
 3.90000000e-01    1.49750217e+02    1.07891656e-04    8.63167065e+17
 3.95000000e-01    1.49743771e+02    1.12093469e-04    8.63150448e+17
 4.00000000e-01    1.49737243e+02    1.16402931e-04    8.63133620e+17
 4.05000000e-01    1.49730633e+02    1.20821401e-04    8.63116580e+17
 4.10000000e-01    1.49723942e+02    1.25350237e-04    8.63099329e+17
 4.15000000e-01    1.49717168e+02    1.29990798e-04    8.63081867e+17
 4.20000000e-01    1.49710312e+02    1.34744440e-04    8.63064193e+17
 4.25000000e-01    1.49703375e+02    1.39612522e-04    8.63046309e+17
 4.30000000e-01    1.49696356e+02    1.44596402e-04    8.63028213e+17
 4.35000000e-01    1.49689254e+02    1.49697437e-04    8.63009906e+17
 4.40000000e-01    1.49682071e+02    1.54916983e-04    8.62991387e+17
 4.45000000e-01    1.49674806e+02    1.60256399e-04    8.62972658e+17
 4.50000000e-01    1.49667460e+02    1.65717041e-04    8.62953717e+17
 4.55000000e-01    1.49660031e+02    1.71300265e-04    8.62934565e+17
 4.60000000e-01    1.49652521e+02    1.77007429e-04    8.62915202e+17
 4.65000000e-01    1.49644929e+02    1.82839888e-04    8.62895628e+17
 4.70000000e-01    1.49637255e+02    1.88798999e-04    8.62875843e+17
 4.75000000e-01    1.49629499e+02    1.94886118e-04    8.62855847e+17
 4.80000000e-01    1.49621661e+02    2.01102600e-04    8.62835640e+17
 4.85000000e-01    1.49613742e+02    2.07449801e-04    8.62815221e+17
 4.90000000e-01    1.49605741e+02    2.13929077e-04    8.62794592e+17
 4.95000000e-01    1.49597658e+02    2.20541783e-04    8.62773752e+17
 5.00000000e-01    1.49589494e+02    2.27289273e-04    8.62752700e+17
 5.05000000e-01    1.49581247e+02    2.34172903e-04    8.62731438e+17
 5.10000000e-01    1.49572919e+02    2.41194027e-04    8.62709965e+17
 5.15000000e-01    1.49564510e+02    2.48353999e-04    8.62688281e+17
 5.20000000e-01    1.49556018e+02    2.55654175e-04    8.62666386e+17
 5.25000000e-01    1.49547445e+02    2.63095907e-04    8.62644280e+17
 5.30000000e-01    1.49538790e+02    2.70680550e-04    8.62621963e+17
 5.35000000e-01    1.49530054e+02    2.78409456e-04    8.62599435e+17
 5.40000000e-01    1.49521236e+02    2.86283981e-04    8.62576697e+17
 5.45000000e-01    1.49512336e+02    2.94305476e-04    8.62553747e+17
 5.50000000e-01    1.49503354e+02    3.02475294e-04    8.62530587e+17
 5.55000000e-01    1.49494291e+02    3.10794789e-04    8.62507216e+17
 5.60000000e-01    1.49485146e+02    3.19265313e-04    8.62483635e+17
 5.65000000e-01    1.49475920e+02    3.27888218e-04    8.62459842e+17
 5.70000000e-01    1.49466612e+02    3.36664857e-04    8.62435839e+17
 5.75000000e-01    1.49457222e+02    3.45596580e-04    8.62411625e+17
 5.80000000e-01    1.49447751e+02    3.54684740e-04    8.62387201e+17
 5.85000000e-01    1.49438199e+02    3.63930688e-04    8.62362566e+17
 5.90000000e-01    1.49428564e+02    3.73335775e-04    8.62337720e+17
 5.95000000e-01    1.49418849e+02    3.82901352e-04    8.62312663e+17
 6.00000000e-01    1.49409051e+02    3.92628770e-04    8.62287396e+17
 6.05000000e-01    1.49399172e+02    4.02519379e-04    8.62261919e+17
 6.10000000e-01    1.49389212e+02    4.12574529e-04    8.62236231e+17
 6.15000000e-01    1.49379170e+02    4.22795571e-04    8.62210332e+17
 6.20000000e-01    1.49369047e+02    4.33183853e-04    8.62184223e+17
 6.25000000e-01    1.49358842e+02    4.43740726e-04    8.62157903e+17
 6.30000000e-01    1.49348555e+02    4.54467539e-04    8.62131373e+17
 6.35000000e-01    1.49338188e+02    4.65365641e-04    8.62104633e+17
 6.40000000e-01    1.49327738e+02    4.76436380e-04    8.62077682e+17
 6.45000000e-01    1.49317208e+02    4.87681105e-04    8.62050520e+17
 6.50000000e-01    1.49306596e+02    4.99101164e-04    8.62023149e+17
 6.55000000e-01    1.49295902e+02    5.10697905e-04    8.61995567e+17
 6.60000000e-01    1.49285127e+02    5.22472675e-04    8.61967774e+17
 6.65000000e-01    1.49274271e+02    5.34426823e-04    8.61939771e+17
 6.70000000e-01    1.49263333e+02    5.46561695e-04    8.61911558e+17
 6.75000000e-01    1.49252314e+02    5.58878638e-04    8.61883135e+17
 6.80000000e-01    1.49241214e+02    5.71378999e-04    8.61854502e+17
 6.85000000e-01    1.49230032e+02    5.84064124e-04    8.61825658e+17
 6.90000000e-01    1.49218769e+02    5.96935360e-04    8.61796604e+17
 6.95000000e-01    1.49207425e+02    6.09994051e-04    8.61767340e+17
 7.00000000e-01    1.49196000e+02    6.23241544e-04    8.61737866e+17
 7.05000000e-01    1.49184493e+02    6.36679184e-04    8.61708182e+17
 7.10000000e-01    1.49172905e+02    6.50308316e-04    8.61678288e+17
 7.15000000e-01    1.49161235e+02    6.64130285e-04    8.61648183e+17
 7.20000000e-01    1.49149485e+02    6.78146434e-04    8.61617869e+17
 7.25000000e-01    1.49137653e+02    6.92358109e-04    8.61587345e+17
 7.30000000e-01    1.49125740e+02    7.06766653e-04    8.61556610e+17
 7.35000000e-01    1.49113745e+02    7.21373409e-04    8.61525666e+17
 7.40000000e-01    1.49101670e+02    7.36179721e-04    8.61494512e+17
 7.45000000e-01    1.49089513e+02    7.51186932e-04    8.61463147e+17
 7.50000000e-01    1.49077276e+02    7.66396384e-04    8.61431573e+17
 7.55000000e-01    1.49064957e+02    7.81809420e-04    8.61399790e+17
 7.60000000e-01    1.49052557e+02    7.97427382e-04    8.61367796e+17
 7.65000000e-01    1.49040076e+02    8.13251612e-04    8.61335592e+17
 7.70000000e-01    1.49027513e+02    8.29283451e-04    8.61303179e+17
 7.75000000e-01    1.49014870e+02    8.45524240e-04    8.61270556e+17
 7.80000000e-01    1.49002146e+02    8.61975321e-04    8.61237723e+17
 7.85000000e-01    1.48989340e+02    8.78638033e-04    8.61204681e+17
 7.90000000e-01    1.48976454e+02    8.95513718e-04    8.61171429e+17
 7.95000000e-01    1.48963486e+02    9.12603714e-04    8.61137967e+17
 8.00000000e-01    1.48950438e+02    9.29909362e-04    8.61104296e+17
 8.05000000e-01    1.48937308e+02    9.47432001e-04    8.61070415e+17
 8.10000000e-01    1.48924098e+02    9.65172970e-04    8.61036325e+17
 8.15000000e-01    1.48910807e+02    9.83133608e-04    8.61002025e+17
 8.20000000e-01    1.48897434e+02    1.00131525e-03    8.60967516e+17
 8.25000000e-01    1.48883981e+02    1.01971924e-03    8.60932797e+17
 8.30000000e-01    1.48870447e+02    1.03834691e-03    8.60897869e+17
 8.35000000e-01    1.48856832e+02    1.05719961e-03    8.60862731e+17
 8.40000000e-01    1.48843136e+02    1.07627866e-03    8.60827384e+17
 8.45000000e-01    1.48829359e+02    1.09558540e-03    8.60791828e+17
 8.50000000e-01    1.48815501e+02    1.11512117e-03    8.60756062e+17
 8.55000000e-01    1.48801562e+02    1.13488731e-03    8.60720087e+17
 8.60000000e-01    1.48787543e+02    1.15488515e-03    8.60683903e+17
 8.65000000e-01    1.48773443e+02    1.17511603e-03    8.60647510e+17
 8.70000000e-01    1.48759262e+02    1.19558128e-03    8.60610907e+17
 8.75000000e-01    1.48745000e+02    1.21628224e-03    8.60574096e+17
 8.80000000e-01    1.48730658e+02    1.23722024e-03    8.60537075e+17
 8.85000000e-01    1.48716234e+02    1.25839661e-03    8.60499845e+17
 8.90000000e-01    1.48701730e+02    1.27981269e-03    8.60462406e+17
 8.95000000e-01    1.48687146e+02    1.30146982e-03    8.60424758e+17
 9.00000000e-01    1.48672480e+02    1.32336932e-03    8.60386901e+17
 9.05000000e-01    1.48657734e+02    1.34551253e-03    8.60348835e+17
 9.10000000e-01    1.48642908e+02    1.36790077e-03    8.60310560e+17
 9.15000000e-01    1.48628000e+02    1.39053539e-03    8.60272077e+17
 9.20000000e-01    1.48613013e+02    1.41341771e-03    8.60233384e+17
 9.25000000e-01    1.48597944e+02    1.43654907e-03    8.60194482e+17
 9.30000000e-01    1.48582795e+02    1.45993079e-03    8.60155372e+17
 9.35000000e-01    1.48567565e+02    1.48356421e-03    8.60116053e+17
 9.40000000e-01    1.48552255e+02    1.50745065e-03    8.60076525e+17
 9.45000000e-01    1.48536864e+02    1.53159145e-03    8.60036789e+17
 9.50000000e-01    1.48521393e+02    1.55598793e-03    8.59996844e+17
 9.55000000e-01    1.48505841e+02    1.58064143e-03    8.59956690e+17
 9.60000000e-01    1.48490209e+02    1.60555326e-03    8.59916328e+17
 9.65000000e-01    1.48474496e+02    1.63072477e-03    8.59875757e+17
 9.70000000e-01    1.48458703e+02    1.65615728e-03    8.59834977e+17
 9.75000000e-01    1.48442830e+02    1.68185211e-03    8.59793989e+17
 9.80000000e-01    1.48426876e+02    1.70781059e-03    8.59752793e+17
 9.85000000e-01    1.48410841e+02    1.73403405e-03    8.59711388e+17
 9.90000000e-01    1.48394727e+02    1.76052382e-03    8.59669775e+17
 9.95000000e-01    1.48378532e+02    1.78728121e-03    8.59627953e+17
 1.00000000e+00    1.48362256e+02    1.81430757e-03    8.59585923e+17
 1.00500000e+00    1.48345900e+02    1.84160420e-03    8.59543685e+17
 1.01000000e+00    1.48329464e+02    1.86917244e-03    8.59501239e+17
 1.01500000e+00    1.48312948e+02    1.89701361e-03    8.59458584e+17
 1.02000000e+00    1.48296352e+02    1.92512904e-03    8.59415721e+17
 1.02500000e+00    1.48279675e+02    1.95352004e-03    8.59372650e+17
 1.03000000e+00    1.48262918e+02    1.98218794e-03    8.59329371e+17
 1.03500000e+00    1.48246081e+02    2.01113407e-03    8.59285884e+17
 1.04000000e+00    1.48229163e+02    2.04035974e-03    8.59242189e+17
 1.04500000e+00    1.48212166e+02    2.06986628e-03    8.59198286e+17
 1.05000000e+00    1.48195088e+02    2.09965501e-03    8.59154175e+17
 1.05500000e+00    1.48177931e+02    2.12972724e-03    8.59109856e+17
 1.06000000e+00    1.48160693e+02    2.16008431e-03    8.59065329e+17
 1.06500000e+00    1.48143375e+02    2.19072753e-03    8.59020594e+17
 1.07000000e+00    1.48125977e+02    2.22165822e-03    8.58975651e+17
 1.07500000e+00    1.48108499e+02    2.25287770e-03    8.58930501e+17
 1.08000000e+00    1.48090941e+02    2.28438728e-03    8.58885143e+17
 1.08500000e+00    1.48073303e+02    2.31618830e-03    8.58839577e+17
 1.09000000e+00    1.48055585e+02    2.34828206e-03    8.58793803e+17
 1.09500000e+00    1.48037787e+02    2.38066988e-03    8.58747822e+17
 1.10000000e+00    1.48019909e+02    2.41335308e-03    8.58701634e+17
 1.10500000e+00    1.48001951e+02    2.44633298e-03    8.58655238e+17
 1.11000000e+00    1.47983913e+02    2.47961089e-03    8.58608634e+17
 1.11500000e+00    1.47965796e+02    2.51318813e-03    8.58561823e+17
 1.12000000e+00    1.47947598e+02    2.54706602e-03    8.58514804e+17
 1.12500000e+00    1.47929321e+02    2.58124586e-03    8.58467578e+17
 1.13000000e+00    1.47910964e+02    2.61572898e-03    8.58420145e+17
 1.13500000e+00    1.47892527e+02    2.65051668e-03    8.58372504e+17
 1.14000000e+00    1.47874011e+02    2.68561029e-03    8.58324656e+17
 1.14500000e+00    1.47855414e+02    2.72101112e-03    8.58276601e+17
 1.15000000e+00    1.47836738e+02    2.75672047e-03    8.58228339e+17
 1.15500000e+00    1.47817982e+02    2.79273966e-03    8.58179869e+17
 1.16000000e+00    1.47799147e+02    2.82907000e-03    8.58131193e+17
 1.16500000e+00    1.47780232e+02    2.86571281e-03    8.58082309e+17
 1.17000000e+00    1.47761237e+02    2.90266939e-03    8.58033219e+17
 1.17500000e+00    1.47742163e+02    2.93994105e-03    8.57983921e+17
 1.18000000e+00    1.47723009e+02    2.97752911e-03    8.57934416e+17
 1.18500000e+00    1.47703775e+02    3.01543488e-03    8.57884705e+17
 1.19000000e+00    1.47684462e+02    3.05365966e-03    8.57834787e+17
 1.19500000e+00    1.47665070e+02    3.09220476e-03    8.57784662e+17
 1.20000000e+00    1.47645597e+02    3.13107149e-03    8.57734330e+17
 1.20500000e+00    1.47626046e+02    3.17026116e-03    8.57683791e+17
 1.21000000e+00    1.47606415e+02    3.20977508e-03    8.57633046e+17
 1.21500000e+00    1.47586704e+02    3.24961455e-03    8.57582094e+17
 1.22000000e+00    1.47566914e+02    3.28978087e-03    8.57530935e+17
 1.22500000e+00    1.47547045e+02    3.33027536e-03    8.57479570e+17
 1.23000000e+00    1.47527097e+02    3.37109932e-03    8.57427999e+17
 1.23500000e+00    1.47507069e+02    3.41225406e-03    8.57376220e+17
 1.24000000e+00    1.47486961e+02    3.45374087e-03    8.57324236e+17
 1.24500000e+00    1.47466775e+02    3.49556107e-03    8.57272045e+17
 1.25000000e+00    1.47446509e+02    3.53771596e-03    8.57219648e+17
 1.25500000e+00    1.47426164e+02    3.58020683e-03    8.57167044e+17
 1.26000000e+00    1.47405739e+02    3.62303499e-03    8.57114234e+17
 1.26500000e+00    1.47385236e+02    3.66620175e-03    8.57061218e+17
 1.27000000e+00    1.47364653e+02    3.70970840e-03    8.57007996e+17
 1.27500000e+00    1.47343991e+02    3.75355625e-03    8.56954568e+17
 1.28000000e+00    1.47323250e+02    3.79774660e-03    8.56900933e+17
 1.28500000e+00    1.47302430e+02    3.84228074e-03    8.56847093e+17
 1.29000000e+00    1.47281531e+02    3.88715998e-03    8.56793047e+17
 1.29500000e+00    1.47260552e+02    3.93238561e-03    8.56738794e+17
 1.30000000e+00    1.47239495e+02    3.97795893e-03    8.56684336e+17
 1.30500000e+00    1.47218359e+02    4.02388125e-03    8.56629672e+17
 1.31000000e+00    1.47197143e+02    4.07015385e-03    8.56574802e+17
 1.31500000e+00    1.47175849e+02    4.11677804e-03    8.56519726e+17
 1.32000000e+00    1.47154476e+02    4.16375512e-03    8.56464445e+17
 1.32500000e+00    1.47133024e+02    4.21108637e-03    8.56408958e+17
 1.33000000e+00    1.47111493e+02    4.25877309e-03    8.56353265e+17
 1.33500000e+00    1.47089883e+02    4.30681658e-03    8.56297367e+17
 1.34000000e+00    1.47068194e+02    4.35521813e-03    8.56241263e+17
 1.34500000e+00    1.47046427e+02    4.40397904e-03    8.56184954e+17
 1.35000000e+00    1.47024580e+02    4.45310059e-03    8.56128439e+17
 1.35500000e+00    1.47002655e+02    4.50258409e-03    8.56071719e+17
 1.36000000e+00    1.46980651e+02    4.55243082e-03    8.56014794e+17
 1.36500000e+00    1.46958569e+02    4.60264208e-03    8.55957663e+17
 1.37000000e+00    1.46936408e+02    4.65321916e-03    8.55900327e+17
 1.37500000e+00    1.46914168e+02    4.70416334e-03    8.55842786e+17
 1.38000000e+00    1.46891849e+02    4.75547592e-03    8.55785039e+17
 1.38500000e+00    1.46869452e+02    4.80715819e-03    8.55727088e+17
 1.39000000e+00    1.46846976e+02    4.85921143e-03    8.55668931e+17
 1.39500000e+00    1.46824422e+02    4.91163694e-03    8.55610570e+17
 1.40000000e+00    1.46801789e+02    4.96443600e-03    8.55552004e+17
 1.40500000e+00    1.46779078e+02    5.01760990e-03    8.55493232e+17
 1.41000000e+00    1.46756288e+02    5.07115992e-03    8.55434256e+17
 1.41500000e+00    1.46733420e+02    5.12508736e-03    8.55375075e+17
 1.42000000e+00    1.46710473e+02    5.17939350e-03    8.55315689e+17
 1.42500000e+00    1.46687448e+02    5.23407962e-03    8.55256099e+17
 1.43000000e+00    1.46664345e+02    5.28914701e-03    8.55196303e+17
 1.43500000e+00    1.46641163e+02    5.34459695e-03    8.55136303e+17
 1.44000000e+00    1.46617903e+02    5.40043073e-03    8.55076099e+17
 1.44500000e+00    1.46594564e+02    5.45664963e-03    8.55015690e+17
 1.45000000e+00    1.46571148e+02    5.51325493e-03    8.54955077e+17
 1.45500000e+00    1.46547653e+02    5.57024791e-03    8.54894259e+17
 1.46000000e+00    1.46524080e+02    5.62762985e-03    8.54833237e+17
 1.46500000e+00    1.46500428e+02    5.68540204e-03    8.54772010e+17
 1.47000000e+00    1.46476699e+02    5.74356576e-03    8.54710580e+17
 1.47500000e+00    1.46452891e+02    5.80212228e-03    8.54648945e+17
 1.48000000e+00    1.46429006e+02    5.86107288e-03    8.54587106e+17
 1.48500000e+00    1.46405042e+02    5.92041885e-03    8.54525063e+17
 1.49000000e+00    1.46381000e+02    5.98016145e-03    8.54462815e+17
 1.49500000e+00    1.46356880e+02    6.04030198e-03    8.54400364e+17
 1.50000000e+00    1.46332682e+02    6.10084169e-03    8.54337709e+17
 1.50500000e+00    1.46308407e+02    6.16178188e-03    8.54274850e+17
 1.51000000e+00    1.46284053e+02    6.22312381e-03    8.54211787e+17
 1.51500000e+00    1.46259621e+02    6.28486876e-03    8.54148520e+17
 1.52000000e+00    1.46235112e+02    6.34701801e-03    8.54085049e+17
 1.52500000e+00    1.46210524e+02    6.40957282e-03    8.54021375e+17
 1.53000000e+00    1.46185859e+02    6.47253448e-03    8.53957497e+17
 1.53500000e+00    1.46161116e+02    6.53590425e-03    8.53893416e+17
 1.54000000e+00    1.46136295e+02    6.59968340e-03    8.53829131e+17
 1.54500000e+00    1.46111397e+02    6.66387322e-03    8.53764642e+17
 1.55000000e+00    1.46086421e+02    6.72847496e-03    8.53699950e+17
 1.55500000e+00    1.46061367e+02    6.79348990e-03    8.53635055e+17
 1.56000000e+00    1.46036235e+02    6.85891930e-03    8.53569956e+17
 1.56500000e+00    1.46011026e+02    6.92476445e-03    8.53504654e+17
 1.57000000e+00    1.45985739e+02    6.99102659e-03    8.53439149e+17
 1.57500000e+00    1.45960375e+02    7.05770701e-03    8.53373441e+17
 1.58000000e+00    1.45934933e+02    7.12480697e-03    8.53307530e+17
 1.58500000e+00    1.45909414e+02    7.19232774e-03    8.53241415e+17
 1.59000000e+00    1.45883817e+02    7.26027058e-03    8.53175098e+17
 1.59500000e+00    1.45858142e+02    7.32863676e-03    8.53108577e+17
 1.60000000e+00    1.45832391e+02    7.39742754e-03    8.53041854e+17
 1.60500000e+00    1.45806562e+02    7.46664418e-03    8.52974928e+17
 1.61000000e+00    1.45780655e+02    7.53628796e-03    8.52907799e+17
 1.61500000e+00    1.45754671e+02    7.60636013e-03    8.52840467e+17
 1.62000000e+00    1.45728610e+02    7.67686195e-03    8.52772933e+17
 1.62500000e+00    1.45702472e+02    7.74779469e-03    8.52705196e+17
 1.63000000e+00    1.45676256e+02    7.81915960e-03    8.52637257e+17
 1.63500000e+00    1.45649963e+02    7.89095796e-03    8.52569115e+17
 1.64000000e+00    1.45623593e+02    7.96319101e-03    8.52500771e+17
 1.64500000e+00    1.45597146e+02    8.03586002e-03    8.52432224e+17
 1.65000000e+00    1.45570622e+02    8.10896624e-03    8.52363475e+17
 1.65500000e+00    1.45544021e+02    8.18251093e-03    8.52294524e+17
 1.66000000e+00    1.45517342e+02    8.25649536e-03    8.52225370e+17
 1.66500000e+00    1.45490587e+02    8.33092077e-03    8.52156014e+17
 1.67000000e+00    1.45463754e+02    8.40578842e-03    8.52086457e+17
 1.67500000e+00    1.45436845e+02    8.48109957e-03    8.52016697e+17
 1.68000000e+00    1.45409859e+02    8.55685547e-03    8.51946735e+17
 1.68500000e+00    1.45382795e+02    8.63305738e-03    8.51876571e+17
 1.69000000e+00    1.45355655e+02    8.70970654e-03    8.51806206e+17
 1.69500000e+00    1.45328438e+02    8.78680422e-03    8.51735638e+17
 1.70000000e+00    1.45301145e+02    8.86435166e-03    8.51664869e+17
 1.70500000e+00    1.45273774e+02    8.94235012e-03    8.51593898e+17
 1.71000000e+00    1.45246327e+02    9.02080084e-03    8.51522726e+17
 1.71500000e+00    1.45218803e+02    9.09970508e-03    8.51451352e+17
 1.72000000e+00    1.45191202e+02    9.17906408e-03    8.51379776e+17
 1.72500000e+00    1.45163525e+02    9.25887910e-03    8.51307999e+17
 1.73000000e+00    1.45135771e+02    9.33915137e-03    8.51236021e+17
 1.73500000e+00    1.45107940e+02    9.41988216e-03    8.51163841e+17
 1.74000000e+00    1.45080033e+02    9.50107270e-03    8.51091460e+17
 1.74500000e+00    1.45052050e+02    9.58272425e-03    8.51018878e+17
 1.75000000e+00    1.45023989e+02    9.66483804e-03    8.50946094e+17
 1.75500000e+00    1.44995853e+02    9.74741532e-03    8.50873110e+17
 1.76000000e+00    1.44967640e+02    9.83045734e-03    8.50799924e+17
 1.76500000e+00    1.44939350e+02    9.91396534e-03    8.50726538e+17
 1.77000000e+00    1.44910985e+02    9.99794056e-03    8.50652950e+17
 1.77500000e+00    1.44882543e+02    1.00823842e-02    8.50579162e+17
 1.78000000e+00    1.44854024e+02    1.01672976e-02    8.50505173e+17
 1.78500000e+00    1.44825429e+02    1.02526820e-02    8.50430983e+17
 1.79000000e+00    1.44796759e+02    1.03385385e-02    8.50356593e+17
 1.79500000e+00    1.44768011e+02    1.04248684e-02    8.50282002e+17
 1.80000000e+00    1.44739188e+02    1.05116730e-02    8.50207210e+17
 1.80500000e+00    1.44710289e+02    1.05989535e-02    8.50132218e+17
 1.81000000e+00    1.44681313e+02    1.06867112e-02    8.50057025e+17
 1.81500000e+00    1.44652262e+02    1.07749472e-02    8.49981632e+17
 1.82000000e+00    1.44623134e+02    1.08636628e-02    8.49906039e+17
 1.82500000e+00    1.44593931e+02    1.09528593e-02    8.49830246e+17
 1.83000000e+00    1.44564651e+02    1.10425379e-02    8.49754252e+17
 1.83500000e+00    1.44535295e+02    1.11326998e-02    8.49678058e+17
 1.84000000e+00    1.44505864e+02    1.12233462e-02    8.49601665e+17
 1.84500000e+00    1.44476357e+02    1.13144784e-02    8.49525071e+17
 1.85000000e+00    1.44446774e+02    1.14060976e-02    8.49448277e+17
 1.85500000e+00    1.44417115e+02    1.14982050e-02    8.49371284e+17
 1.86000000e+00    1.44387380e+02    1.15908020e-02    8.49294090e+17
 1.86500000e+00    1.44357570e+02    1.16838896e-02    8.49216697e+17
 1.87000000e+00    1.44327684e+02    1.17774691e-02    8.49139104e+17
 1.87500000e+00    1.44297722e+02    1.18715419e-02    8.49061312e+17
 1.88000000e+00    1.44267684e+02    1.19661090e-02    8.48983320e+17
 1.88500000e+00    1.44237571e+02    1.20611717e-02    8.48905129e+17
 1.89000000e+00    1.44207383e+02    1.21567312e-02    8.48826738e+17
