           R_km         P_MeV/fm3         M_M_solar   Energy Density (ε)
 2.20000000e-01    4.99666969e+00    5.90864315e-06    2.63393368e+17
 2.25000000e-01    4.99651631e+00    6.32068502e-06    2.63390209e+17
 2.30000000e-01    4.99635948e+00    6.75144770e-06    2.63386979e+17
 2.35000000e-01    4.99619921e+00    7.20134672e-06    2.63383678e+17
 2.40000000e-01    4.99603550e+00    7.67079760e-06    2.63380306e+17
 2.45000000e-01    4.99586834e+00    8.16021583e-06    2.63376863e+17
 2.50000000e-01    4.99569774e+00    8.67001687e-06    2.63373349e+17
 2.55000000e-01    4.99552370e+00    9.20061613e-06    2.63369764e+17
 2.60000000e-01    4.99534622e+00    9.75242901e-06    2.63366108e+17
 2.65000000e-01    4.99516529e+00    1.03258708e-05    2.63362381e+17
 2.70000000e-01    4.99498092e+00    1.09213570e-05    2.63358583e+17
 2.75000000e-01    4.99479311e+00    1.15393026e-05    2.63354714e+17
 2.80000000e-01    4.99460185e+00    1.21801231e-05    2.63350774e+17
 2.85000000e-01    4.99440716e+00    1.28442336e-05    2.63346763e+17
 2.90000000e-01    4.99420902e+00    1.35320493e-05    2.63342682e+17
 2.95000000e-01    4.99400744e+00    1.42439853e-05    2.63338529e+17
 3.00000000e-01    4.99380242e+00    1.49804568e-05    2.63334305e+17
 3.05000000e-01    4.99359397e+00    1.57418786e-05    2.63330010e+17
 3.10000000e-01    4.99338207e+00    1.65286660e-05    2.63325644e+17
 3.15000000e-01    4.99316673e+00    1.73412338e-05    2.63321207e+17
 3.20000000e-01    4.99294795e+00    1.81799970e-05    2.63316699e+17
 3.25000000e-01    4.99272573e+00    1.90453705e-05    2.63312120e+17
 3.30000000e-01    4.99250007e+00    1.99377691e-05    2.63307470e+17
 3.35000000e-01    4.99227098e+00    2.08576076e-05    2.63302749e+17
 3.40000000e-01    4.99203844e+00    2.18053008e-05    2.63297957e+17
 3.45000000e-01    4.99180247e+00    2.27812633e-05    2.63293094e+17
 3.50000000e-01    4.99156306e+00    2.37859100e-05    2.63288160e+17
 3.55000000e-01    4.99132021e+00    2.48196552e-05    2.63283155e+17
 3.60000000e-01    4.99107392e+00    2.58829138e-05    2.63278079e+17
 3.65000000e-01    4.99082419e+00    2.69761001e-05    2.63272932e+17
 3.70000000e-01    4.99057103e+00    2.80996286e-05    2.63267713e+17
 3.75000000e-01    4.99031444e+00    2.92539138e-05    2.63262424e+17
 3.80000000e-01    4.99005440e+00    3.04393700e-05    2.63257064e+17
 3.85000000e-01    4.98979093e+00    3.16564117e-05    2.63251633e+17
 3.90000000e-01    4.98952403e+00    3.29054529e-05    2.63246131e+17
 3.95000000e-01    4.98925369e+00    3.41869081e-05    2.63240558e+17
 4.00000000e-01    4.98897991e+00    3.55011913e-05    2.63234914e+17
 4.05000000e-01    4.98870270e+00    3.68487166e-05    2.63229198e+17
 4.10000000e-01    4.98842206e+00    3.82298982e-05    2.63223412e+17
 4.15000000e-01    4.98813798e+00    3.96451500e-05    2.63217555e+17
 4.20000000e-01    4.98785047e+00    4.10948860e-05    2.63211627e+17
 4.25000000e-01    4.98755952e+00    4.25795201e-05    2.63205627e+17
 4.30000000e-01    4.98726515e+00    4.40994662e-05    2.63199557e+17
 4.35000000e-01    4.98696734e+00    4.56551379e-05    2.63193416e+17
 4.40000000e-01    4.98666609e+00    4.72469491e-05    2.63187203e+17
 4.45000000e-01    4.98636142e+00    4.88753134e-05    2.63180920e+17
 4.50000000e-01    4.98605331e+00    5.05406444e-05    2.63174565e+17
 4.55000000e-01    4.98574178e+00    5.22433557e-05    2.63168140e+17
 4.60000000e-01    4.98542681e+00    5.39838607e-05    2.63161643e+17
 4.65000000e-01    4.98510841e+00    5.57625729e-05    2.63155076e+17
 4.70000000e-01    4.98478659e+00    5.75799057e-05    2.63148437e+17
 4.75000000e-01    4.98446133e+00    5.94362723e-05    2.63141728e+17
 4.80000000e-01    4.98413265e+00    6.13320861e-05    2.63134947e+17
 4.85000000e-01    4.98380053e+00    6.32677601e-05    2.63128095e+17
 4.90000000e-01    4.98346499e+00    6.52437074e-05    2.63121173e+17
 4.95000000e-01    4.98312602e+00    6.72603412e-05    2.63114179e+17
 5.00000000e-01    4.98278362e+00    6.93180744e-05    2.63107114e+17
 5.05000000e-01    4.98243780e+00    7.14173199e-05    2.63099978e+17
 5.10000000e-01    4.98208855e+00    7.35584906e-05    2.63092771e+17
 5.15000000e-01    4.98173587e+00    7.57419992e-05    2.63085494e+17
 5.20000000e-01    4.98137977e+00    7.79682584e-05    2.63078145e+17
 5.25000000e-01    4.98102024e+00    8.02376810e-05    2.63070725e+17
 5.30000000e-01    4.98065729e+00    8.25506794e-05    2.63063234e+17
 5.35000000e-01    4.98029092e+00    8.49076661e-05    2.63055671e+17
 5.40000000e-01    4.97992112e+00    8.73090537e-05    2.63048038e+17
 5.45000000e-01    4.97954789e+00    8.97552544e-05    2.63040334e+17
 5.50000000e-01    4.97917125e+00    9.22466805e-05    2.63032559e+17
 5.55000000e-01    4.97879118e+00    9.47837442e-05    2.63024713e+17
 5.60000000e-01    4.97840769e+00    9.73668577e-05    2.63016795e+17
 5.65000000e-01    4.97802077e+00    9.99964330e-05    2.63008807e+17
 5.70000000e-01    4.97763044e+00    1.02672882e-04    2.63000747e+17
 5.75000000e-01    4.97723669e+00    1.05396617e-04    2.62992617e+17
 5.80000000e-01    4.97683951e+00    1.08168049e-04    2.62984415e+17
 5.85000000e-01    4.97643892e+00    1.10987591e-04    2.62976143e+17
 5.90000000e-01    4.97603491e+00    1.13855654e-04    2.62967799e+17
 5.95000000e-01    4.97562747e+00    1.16772649e-04    2.62959384e+17
 6.00000000e-01    4.97521662e+00    1.19738988e-04    2.62950898e+17
 6.05000000e-01    4.97480236e+00    1.22755083e-04    2.62942341e+17
 6.10000000e-01    4.97438467e+00    1.25821345e-04    2.62933714e+17
 6.15000000e-01    4.97396357e+00    1.28938185e-04    2.62925014e+17
 6.20000000e-01    4.97353906e+00    1.32106014e-04    2.62916244e+17
 6.25000000e-01    4.97311112e+00    1.35325244e-04    2.62907403e+17
 6.30000000e-01    4.97267978e+00    1.38596286e-04    2.62898491e+17
 6.35000000e-01    4.97224502e+00    1.41919549e-04    2.62889508e+17
 6.40000000e-01    4.97180684e+00    1.45295446e-04    2.62880453e+17
 6.45000000e-01    4.97136525e+00    1.48724387e-04    2.62871328e+17
 6.50000000e-01    4.97092025e+00    1.52206783e-04    2.62862131e+17
 6.55000000e-01    4.97047184e+00    1.55743045e-04    2.62852864e+17
 6.60000000e-01    4.97002001e+00    1.59333582e-04    2.62843525e+17
 6.65000000e-01    4.96956477e+00    1.62978805e-04    2.62834115e+17
 6.70000000e-01    4.96910613e+00    1.66679125e-04    2.62824634e+17
 6.75000000e-01    4.96864407e+00    1.70434952e-04    2.62815082e+17
 6.80000000e-01    4.96817860e+00    1.74246696e-04    2.62805459e+17
 6.85000000e-01    4.96770973e+00    1.78114767e-04    2.62795765e+17
 6.90000000e-01    4.96723744e+00    1.82039575e-04    2.62786000e+17
 6.95000000e-01    4.96676175e+00    1.86021530e-04    2.62776164e+17
 7.00000000e-01    4.96628265e+00    1.90061042e-04    2.62766256e+17
 7.05000000e-01    4.96580015e+00    1.94158520e-04    2.62756278e+17
 7.10000000e-01    4.96531424e+00    1.98314374e-04    2.62746228e+17
 7.15000000e-01    4.96482492e+00    2.02529014e-04    2.62736108e+17
 7.20000000e-01    4.96433220e+00    2.06802849e-04    2.62725916e+17
 7.25000000e-01    4.96383608e+00    2.11136288e-04    2.62715653e+17
 7.30000000e-01    4.96333655e+00    2.15529740e-04    2.62705319e+17
 7.35000000e-01    4.96283362e+00    2.19983615e-04    2.62694914e+17
 7.40000000e-01    4.96232728e+00    2.24498322e-04    2.62684438e+17
 7.45000000e-01    4.96181755e+00    2.29074269e-04    2.62673890e+17
 7.50000000e-01    4.96130441e+00    2.33711866e-04    2.62663272e+17
 7.55000000e-01    4.96078787e+00    2.38411520e-04    2.62652582e+17
 7.60000000e-01    4.96026794e+00    2.43173641e-04    2.62641822e+17
 7.65000000e-01    4.95974460e+00    2.47998638e-04    2.62630990e+17
 7.70000000e-01    4.95921787e+00    2.52886918e-04    2.62620087e+17
 7.75000000e-01    4.95868774e+00    2.57838890e-04    2.62609113e+17
 7.80000000e-01    4.95815421e+00    2.62854962e-04    2.62598068e+17
 7.85000000e-01    4.95761728e+00    2.67935542e-04    2.62586952e+17
 7.90000000e-01    4.95707696e+00    2.73081039e-04    2.62575764e+17
 7.95000000e-01    4.95653325e+00    2.78291859e-04    2.62564506e+17
 8.00000000e-01    4.95598614e+00    2.83568412e-04    2.62553176e+17
 8.05000000e-01    4.95543563e+00    2.88911104e-04    2.62541776e+17
 8.10000000e-01    4.95488173e+00    2.94320343e-04    2.62530304e+17
 8.15000000e-01    4.95432445e+00    2.99796537e-04    2.62518761e+17
 8.20000000e-01    4.95376376e+00    3.05340093e-04    2.62507147e+17
 8.25000000e-01    4.95319969e+00    3.10951418e-04    2.62495462e+17
 8.30000000e-01    4.95263223e+00    3.16630920e-04    2.62483705e+17
 8.35000000e-01    4.95206138e+00    3.22379004e-04    2.62471878e+17
 8.40000000e-01    4.95148713e+00    3.28196079e-04    2.62459979e+17
 8.45000000e-01    4.95090951e+00    3.34082552e-04    2.62448009e+17
 8.50000000e-01    4.95032849e+00    3.40038828e-04    2.62435968e+17
 8.55000000e-01    4.94974408e+00    3.46065314e-04    2.62423856e+17
 8.60000000e-01    4.94915629e+00    3.52162417e-04    2.62411673e+17
 8.65000000e-01    4.94856512e+00    3.58330543e-04    2.62399419e+17
 8.70000000e-01    4.94797056e+00    3.64570099e-04    2.62387093e+17
 8.75000000e-01    4.94737262e+00    3.70881490e-04    2.62374696e+17
 8.80000000e-01    4.94677129e+00    3.77265122e-04    2.62362228e+17
 8.85000000e-01    4.94616658e+00    3.83721402e-04    2.62349689e+17
 8.90000000e-01    4.94555849e+00    3.90250734e-04    2.62337079e+17
 8.95000000e-01    4.94494702e+00    3.96853526e-04    2.62324398e+17
 9.00000000e-01    4.94433217e+00    4.03530182e-04    2.62311646e+17
 9.05000000e-01    4.94371394e+00    4.10281107e-04    2.62298822e+17
 9.10000000e-01    4.94309233e+00    4.17106707e-04    2.62285927e+17
 9.15000000e-01    4.94246734e+00    4.24007387e-04    2.62272961e+17
 9.20000000e-01    4.94183898e+00    4.30983553e-04    2.62259924e+17
 9.25000000e-01    4.94120724e+00    4.38035608e-04    2.62246816e+17
 9.30000000e-01    4.94057212e+00    4.45163958e-04    2.62233636e+17
 9.35000000e-01    4.93993363e+00    4.52369007e-04    2.62220385e+17
 9.40000000e-01    4.93929177e+00    4.59651161e-04    2.62207064e+17
 9.45000000e-01    4.93864653e+00    4.67010822e-04    2.62193671e+17
 9.50000000e-01    4.93799792e+00    4.74448396e-04    2.62180206e+17
 9.55000000e-01    4.93734594e+00    4.81964287e-04    2.62166671e+17
 9.60000000e-01    4.93669059e+00    4.89558899e-04    2.62153064e+17
 9.65000000e-01    4.93603186e+00    4.97232636e-04    2.62139387e+17
 9.70000000e-01    4.93536977e+00    5.04985900e-04    2.62125638e+17
 9.75000000e-01    4.93470431e+00    5.12819097e-04    2.62111818e+17
 9.80000000e-01    4.93403549e+00    5.20732630e-04    2.62097926e+17
 9.85000000e-01    4.93336329e+00    5.28726901e-04    2.62083964e+17
 9.90000000e-01    4.93268774e+00    5.36802315e-04    2.62069930e+17
 9.95000000e-01    4.93200881e+00    5.44959274e-04    2.62055825e+17
 1.00000000e+00    4.93132652e+00    5.53198181e-04    2.62041649e+17
 1.00500000e+00    4.93064087e+00    5.61519439e-04    2.62027401e+17
 1.01000000e+00    4.92995186e+00    5.69923451e-04    2.62013083e+17
 1.01500000e+00    4.92925949e+00    5.78410619e-04    2.61998693e+17
 1.02000000e+00    4.92856375e+00    5.86981346e-04    2.61984232e+17
 1.02500000e+00    4.92786466e+00    5.95636034e-04    2.61969700e+17
 1.03000000e+00    4.92716220e+00    6.04375085e-04    2.61955097e+17
 1.03500000e+00    4.92645639e+00    6.13198902e-04    2.61940422e+17
 1.04000000e+00    4.92574722e+00    6.22107886e-04    2.61925676e+17
 1.04500000e+00    4.92503470e+00    6.31102438e-04    2.61910859e+17
 1.05000000e+00    4.92431881e+00    6.40182961e-04    2.61895971e+17
 1.05500000e+00    4.92359958e+00    6.49349856e-04    2.61881011e+17
 1.06000000e+00    4.92287699e+00    6.58603524e-04    2.61865980e+17
 1.06500000e+00    4.92215105e+00    6.67944367e-04    2.61850878e+17
 1.07000000e+00    4.92142176e+00    6.77372785e-04    2.61835705e+17
 1.07500000e+00    4.92068911e+00    6.86889179e-04    2.61820461e+17
 1.08000000e+00    4.91995312e+00    6.96493951e-04    2.61805145e+17
 1.08500000e+00    4.91921377e+00    7.06187500e-04    2.61789758e+17
 1.09000000e+00    4.91847108e+00    7.15970227e-04    2.61774300e+17
 1.09500000e+00    4.91772504e+00    7.25842533e-04    2.61758770e+17
 1.10000000e+00    4.91697566e+00    7.35804817e-04    2.61743170e+17
 1.10500000e+00    4.91622293e+00    7.45857479e-04    2.61727498e+17
 1.11000000e+00    4.91546685e+00    7.56000921e-04    2.61711755e+17
 1.11500000e+00    4.91470743e+00    7.66235540e-04    2.61695940e+17
 1.12000000e+00    4.91394467e+00    7.76561737e-04    2.61680055e+17
 1.12500000e+00    4.91317857e+00    7.86979911e-04    2.61664098e+17
 1.13000000e+00    4.91240913e+00    7.97490462e-04    2.61648069e+17
 1.13500000e+00    4.91163634e+00    8.08093788e-04    2.61631970e+17
 1.14000000e+00    4.91086022e+00    8.18790288e-04    2.61615799e+17
 1.14500000e+00    4.91008076e+00    8.29580362e-04    2.61599557e+17
 1.15000000e+00    4.90929797e+00    8.40464408e-04    2.61583244e+17
 1.15500000e+00    4.90851183e+00    8.51442824e-04    2.61566859e+17
 1.16000000e+00    4.90772237e+00    8.62516008e-04    2.61550404e+17
 1.16500000e+00    4.90692957e+00    8.73684360e-04    2.61533876e+17
 1.17000000e+00    4.90613343e+00    8.84948277e-04    2.61517278e+17
 1.17500000e+00    4.90533397e+00    8.96308156e-04    2.61500608e+17
 1.18000000e+00    4.90453117e+00    9.07764396e-04    2.61483867e+17
 1.18500000e+00    4.90372504e+00    9.19317394e-04    2.61467055e+17
 1.19000000e+00    4.90291559e+00    9.30967548e-04    2.61450172e+17
 1.19500000e+00    4.90210280e+00    9.42715254e-04    2.61433217e+17
 1.20000000e+00    4.90128669e+00    9.54560910e-04    2.61416191e+17
 1.20500000e+00    4.90046726e+00    9.66504912e-04    2.61399093e+17
 1.21000000e+00    4.89964450e+00    9.78547658e-04    2.61381925e+17
 1.21500000e+00    4.89881841e+00    9.90689544e-04    2.61364685e+17
 1.22000000e+00    4.89798900e+00    1.00293097e-03    2.61347373e+17
 1.22500000e+00    4.89715627e+00    1.01527232e-03    2.61329991e+17
 1.23000000e+00    4.89632022e+00    1.02771401e-03    2.61312537e+17
 1.23500000e+00    4.89548085e+00    1.04025641e-03    2.61295011e+17
 1.24000000e+00    4.89463816e+00    1.05289994e-03    2.61277415e+17
 1.24500000e+00    4.89379216e+00    1.06564499e-03    2.61259747e+17
 1.25000000e+00    4.89294283e+00    1.07849195e-03    2.61242008e+17
 1.25500000e+00    4.89209019e+00    1.09144121e-03    2.61224197e+17
 1.26000000e+00    4.89123424e+00    1.10449318e-03    2.61206315e+17
 1.26500000e+00    4.89037498e+00    1.11764824e-03    2.61188362e+17
 1.27000000e+00    4.88951240e+00    1.13090679e-03    2.61170338e+17
 1.27500000e+00    4.88864651e+00    1.14426923e-03    2.61152242e+17
 1.28000000e+00    4.88777731e+00    1.15773595e-03    2.61134075e+17
 1.28500000e+00    4.88690480e+00    1.17130735e-03    2.61115836e+17
 1.29000000e+00    4.88602898e+00    1.18498381e-03    2.61097526e+17
 1.29500000e+00    4.88514986e+00    1.19876574e-03    2.61079145e+17
 1.30000000e+00    4.88426743e+00    1.21265352e-03    2.61060692e+17
 1.30500000e+00    4.88338169e+00    1.22664755e-03    2.61042168e+17
 1.31000000e+00    4.88249265e+00    1.24074823e-03    2.61023573e+17
 1.31500000e+00    4.88160031e+00    1.25495594e-03    2.61004907e+17
 1.32000000e+00    4.88070467e+00    1.26927108e-03    2.60986169e+17
 1.32500000e+00    4.87980573e+00    1.28369405e-03    2.60967359e+17
 1.33000000e+00    4.87890349e+00    1.29822523e-03    2.60948479e+17
 1.33500000e+00    4.87799795e+00    1.31286501e-03    2.60929527e+17
 1.34000000e+00    4.87708911e+00    1.32761380e-03    2.60910503e+17
 1.34500000e+00    4.87617698e+00    1.34247198e-03    2.60891408e+17
 1.35000000e+00    4.87526155e+00    1.35743994e-03    2.60872242e+17
 1.35500000e+00    4.87434283e+00    1.37251808e-03    2.60853005e+17
 1.36000000e+00    4.87342082e+00    1.38770679e-03    2.60833696e+17
 1.36500000e+00    4.87249551e+00    1.40300645e-03    2.60814315e+17
 1.37000000e+00    4.87156692e+00    1.41841746e-03    2.60794864e+17
 1.37500000e+00    4.87063504e+00    1.43394022e-03    2.60775341e+17
 1.38000000e+00    4.86969986e+00    1.44957510e-03    2.60755746e+17
 1.38500000e+00    4.86876141e+00    1.46532251e-03    2.60736080e+17
 1.39000000e+00    4.86781966e+00    1.48118283e-03    2.60716343e+17
 1.39500000e+00    4.86687464e+00    1.49715645e-03    2.60696534e+17
 1.40000000e+00    4.86592633e+00    1.51324377e-03    2.60676654e+17
 1.40500000e+00    4.86497474e+00    1.52944517e-03    2.60656703e+17
 1.41000000e+00    4.86401986e+00    1.54576104e-03    2.60636680e+17
 1.41500000e+00    4.86306171e+00    1.56219178e-03    2.60616586e+17
 1.42000000e+00    4.86210028e+00    1.57873776e-03    2.60596420e+17
 1.42500000e+00    4.86113557e+00    1.59539939e-03    2.60576183e+17
 1.43000000e+00    4.86016759e+00    1.61217705e-03    2.60555874e+17
 1.43500000e+00    4.85919633e+00    1.62907112e-03    2.60535494e+17
 1.44000000e+00    4.85822180e+00    1.64608200e-03    2.60515043e+17
 1.44500000e+00    4.85724399e+00    1.66321008e-03    2.60494520e+17
 1.45000000e+00    4.85626292e+00    1.68045574e-03    2.60473926e+17
 1.45500000e+00    4.85527858e+00    1.69781937e-03    2.60453260e+17
 1.46000000e+00    4.85429096e+00    1.71530136e-03    2.60432523e+17
 1.46500000e+00    4.85330008e+00    1.73290210e-03    2.60411715e+17
 1.47000000e+00    4.85230593e+00    1.75062197e-03    2.60390835e+17
 1.47500000e+00    4.85130852e+00    1.76846136e-03    2.60369883e+17
 1.48000000e+00    4.85030785e+00    1.78642066e-03    2.60348860e+17
 1.48500000e+00    4.84930391e+00    1.80450026e-03    2.60327766e+17
 1.49000000e+00    4.84829671e+00    1.82270053e-03    2.60306600e+17
 1.49500000e+00    4.84728625e+00    1.84102188e-03    2.60285363e+17
 1.50000000e+00    4.84627253e+00    1.85946468e-03    2.60264054e+17
 1.50500000e+00    4.84525556e+00    1.87802932e-03    2.60242674e+17
 1.51000000e+00    4.84423533e+00    1.89671619e-03    2.60221223e+17
 1.51500000e+00    4.84321184e+00    1.91552566e-03    2.60199700e+17
 1.52000000e+00    4.84218510e+00    1.93445814e-03    2.60178105e+17
 1.52500000e+00    4.84115511e+00    1.95351399e-03    2.60156439e+17
 1.53000000e+00    4.84012187e+00    1.97269362e-03    2.60134702e+17
 1.53500000e+00    4.83908538e+00    1.99199739e-03    2.60112893e+17
 1.54000000e+00    4.83804563e+00    2.01142570e-03    2.60091012e+17
 1.54500000e+00    4.83700265e+00    2.03097894e-03    2.60069060e+17
 1.55000000e+00    4.83595641e+00    2.05065747e-03    2.60047037e+17
 1.55500000e+00    4.83490694e+00    2.07046170e-03    2.60024942e+17
 1.56000000e+00    4.83385421e+00    2.09039200e-03    2.60002776e+17
 1.56500000e+00    4.83279825e+00    2.11044875e-03    2.59980538e+17
 1.57000000e+00    4.83173905e+00    2.13063234e-03    2.59958228e+17
 1.57500000e+00    4.83067660e+00    2.15094316e-03    2.59935848e+17
 1.58000000e+00    4.82961092e+00    2.17138158e-03    2.59913395e+17
 1.58500000e+00    4.82854201e+00    2.19194799e-03    2.59890871e+17
 1.59000000e+00    4.82746985e+00    2.21264277e-03    2.59868276e+17
 1.59500000e+00    4.82639447e+00    2.23346630e-03    2.59845609e+17
 1.60000000e+00    4.82531585e+00    2.25441896e-03    2.59822871e+17
 1.60500000e+00    4.82423400e+00    2.27550115e-03    2.59800061e+17
 1.61000000e+00    4.82314892e+00    2.29671323e-03    2.59777179e+17
 1.61500000e+00    4.82206061e+00    2.31805559e-03    2.59754226e+17
 1.62000000e+00    4.82096907e+00    2.33952860e-03    2.59731202e+17
 1.62500000e+00    4.81987431e+00    2.36113267e-03    2.59708106e+17
 1.63000000e+00    4.81877633e+00    2.38286815e-03    2.59684938e+17
 1.63500000e+00    4.81767512e+00    2.40473543e-03    2.59661699e+17
 1.64000000e+00    4.81657069e+00    2.42673490e-03    2.59638388e+17
 1.64500000e+00    4.81546304e+00    2.44886693e-03    2.59615006e+17
 1.65000000e+00    4.81435217e+00    2.47113190e-03    2.59591552e+17
 1.65500000e+00    4.81323808e+00    2.49353020e-03    2.59568027e+17
 1.66000000e+00    4.81212078e+00    2.51606219e-03    2.59544430e+17
 1.66500000e+00    4.81100026e+00    2.53872827e-03    2.59520762e+17
 1.67000000e+00    4.80987653e+00    2.56152881e-03    2.59497022e+17
 1.67500000e+00    4.80874959e+00    2.58446418e-03    2.59473210e+17
 1.68000000e+00    4.80761943e+00    2.60753477e-03    2.59449327e+17
 1.68500000e+00    4.80648607e+00    2.63074096e-03    2.59425372e+17
 1.69000000e+00    4.80534950e+00    2.65408312e-03    2.59401346e+17
 1.69500000e+00    4.80420972e+00    2.67756163e-03    2.59377248e+17
 1.70000000e+00    4.80306674e+00    2.70117687e-03    2.59353079e+17
 1.70500000e+00    4.80192056e+00    2.72492921e-03    2.59328838e+17
 1.71000000e+00    4.80077117e+00    2.74881904e-03    2.59304525e+17
 1.71500000e+00    4.79961858e+00    2.77284673e-03    2.59280141e+17
 1.72000000e+00    4.79846280e+00    2.79701265e-03    2.59255686e+17
 1.72500000e+00    4.79730381e+00    2.82131719e-03    2.59231158e+17
 1.73000000e+00    4.79614163e+00    2.84576071e-03    2.59206559e+17
 1.73500000e+00    4.79497626e+00    2.87034360e-03    2.59181889e+17
 1.74000000e+00    4.79380769e+00    2.89506623e-03    2.59157147e+17
 1.74500000e+00    4.79263593e+00    2.91992897e-03    2.59132333e+17
 1.75000000e+00    4.79146098e+00    2.94493221e-03    2.59107448e+17
 1.75500000e+00    4.79028284e+00    2.97007631e-03    2.59082491e+17
 1.76000000e+00    4.78910152e+00    2.99536166e-03    2.59057462e+17
 1.76500000e+00    4.78791701e+00    3.02078862e-03    2.59032362e+17
 1.77000000e+00    4.78672931e+00    3.04635757e-03    2.59007190e+17
 1.77500000e+00    4.78553843e+00    3.07206888e-03    2.58981947e+17
 1.78000000e+00    4.78434437e+00    3.09792293e-03    2.58956632e+17
 1.78500000e+00    4.78314713e+00    3.12392009e-03    2.58931245e+17
 1.79000000e+00    4.78194671e+00    3.15006074e-03    2.58905787e+17
 1.79500000e+00    4.78074312e+00    3.17634524e-03    2.58880257e+17
 1.80000000e+00    4.77953635e+00    3.20277397e-03    2.58854655e+17
 1.80500000e+00    4.77832640e+00    3.22934731e-03    2.58828982e+17
 1.81000000e+00    4.77711328e+00    3.25606562e-03    2.58803237e+17
 1.81500000e+00    4.77589699e+00    3.28292928e-03    2.58777421e+17
 1.82000000e+00    4.77467754e+00    3.30993866e-03    2.58751532e+17
 1.82500000e+00    4.77345491e+00    3.33709413e-03    2.58725573e+17
 1.83000000e+00    4.77222912e+00    3.36439606e-03    2.58699541e+17
 1.83500000e+00    4.77100016e+00    3.39184482e-03    2.58673438e+17
 1.84000000e+00    4.76976804e+00    3.41944079e-03    2.58647263e+17
 1.84500000e+00    4.76853276e+00    3.44718433e-03    2.58621017e+17
 1.85000000e+00    4.76729432e+00    3.47507582e-03    2.58594699e+17
 1.85500000e+00    4.76605272e+00    3.50311562e-03    2.58568309e+17
 1.86000000e+00    4.76480797e+00    3.53130411e-03    2.58541847e+17
 1.86500000e+00    4.76356005e+00    3.55964166e-03    2.58515314e+17
 1.87000000e+00    4.76230899e+00    3.58812862e-03    2.58488709e+17
 1.87500000e+00    4.76105477e+00    3.61676539e-03    2.58462033e+17
 1.88000000e+00    4.75979740e+00    3.64555231e-03    2.58435284e+17
 1.88500000e+00    4.75853688e+00    3.67448976e-03    2.58408465e+17
 1.89000000e+00    4.75727322e+00    3.70357811e-03    2.58381573e+17
