           R_km         P_MeV/fm3         M_M_solar   Energy Density (ε)
 1.50000000e-02    4.99999137e+00    1.87310067e-09    2.63461941e+17
 2.00000000e-02    4.99997930e+00    4.43993997e-09    2.63461514e+17
 2.50000000e-02    4.99996378e+00    8.67175157e-09    2.63461195e+17
 3.00000000e-02    4.99994482e+00    1.49847735e-08    2.63460805e+17
 3.50000000e-02    4.99992240e+00    2.37952404e-08    2.63460343e+17
 4.00000000e-02    4.99989654e+00    3.55193829e-08    2.63459811e+17
 4.50000000e-02    4.99986723e+00    5.05734269e-08    2.63459207e+17
 5.00000000e-02    4.99983448e+00    6.93735929e-08    2.63458533e+17
 5.50000000e-02    4.99979827e+00    9.23360955e-08    2.63457788e+17
 6.00000000e-02    4.99975862e+00    1.19877142e-07    2.63456971e+17
 6.50000000e-02    4.99971552e+00    1.52412934e-07    2.63456084e+17
 7.00000000e-02    4.99966897e+00    1.90359662e-07    2.63455126e+17
 7.50000000e-02    4.99961897e+00    2.34133511e-07    2.63454097e+17
 8.00000000e-02    4.99956553e+00    2.84150654e-07    2.63452996e+17
 8.50000000e-02    4.99950863e+00    3.40827256e-07    2.63451825e+17
 9.00000000e-02    4.99944829e+00    4.04579469e-07    2.63450583e+17
 9.50000000e-02    4.99938451e+00    4.75823436e-07    2.63449270e+17
 1.00000000e-01    4.99931727e+00    5.54975287e-07    2.63447885e+17
 1.05000000e-01    4.99924659e+00    6.42451137e-07    2.63446430e+17
 1.10000000e-01    4.99917246e+00    7.38667091e-07    2.63444904e+17
 1.15000000e-01    4.99909489e+00    8.44039238e-07    2.63443307e+17
 1.20000000e-01    4.99901386e+00    9.58983652e-07    2.63441639e+17
 1.25000000e-01    4.99892939e+00    1.08391639e-06    2.63439900e+17
 1.30000000e-01    4.99884147e+00    1.21925350e-06    2.63438089e+17
 1.35000000e-01    4.99875011e+00    1.36541101e-06    2.63436208e+17
 1.40000000e-01    4.99865530e+00    1.52280492e-06    2.63434256e+17
 1.45000000e-01    4.99855704e+00    1.69185122e-06    2.63432233e+17
 1.50000000e-01    4.99845534e+00    1.87296589e-06    2.63430139e+17
 1.55000000e-01    4.99835019e+00    2.06656488e-06    2.63427974e+17
 1.60000000e-01    4.99824159e+00    2.27306412e-06    2.63425738e+17
 1.65000000e-01    4.99812955e+00    2.49287952e-06    2.63423431e+17
 1.70000000e-01    4.99801406e+00    2.72642696e-06    2.63421053e+17
 1.75000000e-01    4.99789513e+00    2.97412233e-06    2.63418604e+17
 1.80000000e-01    4.99777275e+00    3.23638146e-06    2.63416084e+17
 1.85000000e-01    4.99764692e+00    3.51362017e-06    2.63413493e+17
 1.90000000e-01    4.99751765e+00    3.80625426e-06    2.63410831e+17
 1.95000000e-01    4.99738494e+00    4.11469950e-06    2.63408098e+17
 2.00000000e-01    4.99724878e+00    4.43937164e-06    2.63405294e+17
 2.05000000e-01    4.99710917e+00    4.78068639e-06    2.63402419e+17
 2.10000000e-01    4.99696612e+00    5.13905946e-06    2.63399473e+17
 2.15000000e-01    4.99681963e+00    5.51490650e-06    2.63396456e+17
